id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
ADHI,2022-01-31,815.00,840,815,830,10114400,8397827500
ADHI,2022-01-28,810.00,820,805,810,3378300,2744970000
ADHI,2022-01-27,805.00,825,805,810,5335900,4332239500
ADHI,2022-01-26,805.00,830,795,810,6897200,5603330500
ADHI,2022-01-25,830.00,835,800,805,4925000,3995731000
ADHI,2022-01-24,840.00,850,825,835,5844400,4879374000
ADHI,2022-01-21,835.00,850,815,840,10370200,8679202000
ADHI,2022-01-20,825.00,845,820,835,9453000,7896190000
ADHI,2022-01-19,815.00,835,795,825,10991400,9008673500
ADHI,2022-01-18,840.00,840,785,825,23627700,19077239500
ADHI,2022-01-17,895.00,900,830,830,30743900,25963528000
ADHI,2022-01-14,900.00,900,880,890,7039100,6253532500
ADHI,2022-01-13,890.00,915,880,900,11461600,10315244000
ADHI,2022-01-12,900.00,910,850,890,16172700,14310429500
ADHI,2022-01-11,925.00,925,885,900,14200800,12777728000
