id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
AKPI,2022-01-03,1125.00,1180,1120,1155,214900,245596500
AKPI,2021-12-30,1070.00,1135,1050,1130,176600,195802500
AKPI,2021-12-29,1075.00,1090,1065,1070,67200,72275500
AKPI,2021-12-28,1050.00,1120,1015,1075,144800,154215000
AKPI,2021-12-27,1070.00,1070,1015,1050,140100,145165000
AKPI,2021-12-24,1090.00,1095,1035,1070,166500,174063500
AKPI,2021-12-23,1100.00,1100,1020,1090,45100,47772000
AKPI,2021-12-22,1120.00,1120,1070,1095,47900,51922000
AKPI,2021-12-21,1110.00,1165,1085,1120,35400,39775000
AKPI,2021-12-20,1145.00,1145,1070,1115,152800,166402000
AKPI,2021-12-17,1135.00,1185,1115,1145,12300,14117000
AKPI,2021-12-16,1170.00,1200,1130,1135,78600,90159000
AKPI,2021-12-15,1130.00,1335,1120,1170,182700,212787500
AKPI,2021-12-14,1135.00,1145,1050,1130,209700,234148000
AKPI,2021-12-13,1070.00,1145,1060,1115,293800,322411000
AKPI,2021-12-10,1080.00,1080,1035,1070,109900,116323000
AKPI,2021-12-09,1070.00,1100,1020,1080,87300,92939000
AKPI,2021-12-08,975.00,1160,945,1070,576600,588433000
AKPI,2021-12-07,890.00,980,890,965,297000,281268500
AKPI,2021-12-06,915.00,915,860,900,55100,48618500
AKPI,2021-12-03,950.00,950,910,920,149700,137208000
AKPI,2021-12-02,1040.00,1040,895,940,149800,140183000
AKPI,2021-12-01,910.00,1050,860,960,1575600,1563698500
AKPI,2021-11-30,700.00,860,700,860,346900,290371000
AKPI,2021-11-26,735.00,735,700,705,20100,14285500
AKPI,2021-11-25,735.00,745,725,745,11800,8714500
AKPI,2021-11-24,735.00,735,700,735,12000,8641500
AKPI,2021-11-23,745.00,785,720,735,17000,12578000
AKPI,2021-11-22,785.00,790,730,740,55700,42909000
AKPI,2021-11-19,760.00,840,730,780,47800,36863000
AKPI,2021-11-18,690.00,790,690,755,45900,34056500
AKPI,2021-11-16,700.00,700,670,690,23600,16192500
AKPI,2021-11-12,715.00,725,715,715,16700,11996000
AKPI,2021-11-11,710.00,715,700,715,21700,15312500
AKPI,2021-11-10,705.00,715,680,710,11900,8230500
AKPI,2021-11-09,705.00,710,700,705,10300,7254500
AKPI,2021-11-08,725.00,730,700,700,20200,14538500
AKPI,2021-11-05,730.00,735,695,725,57200,40709000
AKPI,2021-11-04,730.00,745,720,735,10600,7809500
AKPI,2021-11-03,760.00,760,710,725,72800,52818500
AKPI,2021-11-02,740.00,775,735,760,30000,22719000
AKPI,2021-11-01,775.00,775,725,740,84000,61669000
AKPI,2021-10-29,790.00,900,740,775,101400,82853500
AKPI,2021-10-28,835.00,845,790,790,56000,44856000
AKPI,2021-10-27,900.00,900,845,845,66400,57186500
AKPI,2021-10-26,940.00,1000,880,900,176300,161295000
AKPI,2021-10-25,795.00,990,795,945,637900,617218000
AKPI,2021-10-22,715.00,795,715,795,133500,98998500
AKPI,2021-10-21,705.00,750,680,715,76400,54855000
AKPI,2021-10-19,640.00,750,640,705,69600,47669000
AKPI,2021-10-14,635,660,630,630,11400,7419500
AKPI,2021-10-13,640,645,640,645,15100,9664500
AKPI,2021-10-12,640,655,640,640,44300,28535500
AKPI,2021-10-11,630,665,630,640,21000,13517000
AKPI,2021-10-08,625,650,625,630,30500,19466000
AKPI,2021-10-07,625,630,620,625,29100,18196000
AKPI,2021-10-06,605,625,605,625,98400,61077000
AKPI,2021-10-05,595,625,570,605,50000,30284500
AKPI,2021-09-30,585,605,585,590,36500,21991500
AKPI,2021-09-29,570,585,570,585,11200,6443500
AKPI,2021-09-22,600,600,585,590,11900,7061500
AKPI,2021-09-20,590,600,590,600,11000,6497000
AKPI,2021-09-16,595,620,565,600,38600,22608500
AKPI,2021-09-15,605,605,580,600,36000,21244000
AKPI,2021-09-13,605,605,600,600,13600,8162500
AKPI,2021-09-09,600,615,580,615,34500,20120500
AKPI,2021-09-07,625,625,600,620,14000,8593500
AKPI,2021-09-06,610,620,610,620,15300,9367500
AKPI,2021-09-03,610,610,600,610,11700,7135000
AKPI,2021-09-02,620,620,585,610,49100,29125500
AKPI,2021-09-01,620,620,590,620,18800,11286000
AKPI,2021-08-31,620,625,615,625,19000,11781500
AKPI,2021-08-30,625,630,615,620,13900,8667500
AKPI,2021-08-26,610,620,605,605,11900,7296000
AKPI,2021-08-20,615,635,610,610,12800,7864000
AKPI,2021-08-19,600,615,590,615,21300,12980000
AKPI,2021-08-18,620,620,610,615,12500,7692000
AKPI,2021-08-16,640,640,610,610,28900,17823000
