id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
ALKA,2022-01-03,256.00,290,254,278,821900,225497400
ALKA,2021-12-30,256.00,264,246,256,77200,19310000
ALKA,2021-12-29,268.00,286,254,254,192900,51165400
ALKA,2021-12-28,308.00,308,268,268,114900,31098000
ALKA,2021-12-27,258.00,320,250,288,394000,107862200
ALKA,2021-12-24,268.00,268,248,258,56600,14134400
ALKA,2021-12-23,256.00,256,248,248,84700,21100200
ALKA,2021-12-22,266.00,266,258,258,106300,27549600
ALKA,2021-12-21,258.00,278,248,276,133100,34519400
ALKA,2021-12-20,244.00,258,244,258,180600,45605800
ALKA,2021-12-17,246.00,256,240,244,160900,39514000
ALKA,2021-12-16,258.00,258,238,240,72900,18114200
ALKA,2021-12-14,256.00,266,244,250,125900,32365800
ALKA,2021-12-13,236.00,278,222,254,171700,43762600
ALKA,2021-12-10,224.00,238,224,236,13800,3185600
ALKA,2021-12-08,230.00,240,230,240,21900,5109600
ALKA,2021-12-02,244.00,244,228,242,40600,9730600
ALKA,2021-12-01,244.00,246,240,244,30400,7410800
ALKA,2021-11-29,240.00,262,234,246,10500,2519800
ALKA,2021-11-23,240.00,242,240,240,10400,2500000
ALKA,2021-11-19,244.00,250,240,242,10200,2496800
ALKA,2021-11-17,244.00,246,244,246,44800,10971400
ALKA,2021-11-15,242.00,248,240,244,16300,3969200
ALKA,2021-11-12,240.00,248,240,242,21000,5111000
ALKA,2021-11-11,250.00,258,238,240,34700,8572800
ALKA,2021-11-10,256.00,256,240,250,91500,22683000
ALKA,2021-11-09,244.00,244,240,244,10000,2412200
ALKA,2021-11-08,266.00,266,238,244,78100,19099600
ALKA,2021-11-05,248.00,258,248,254,13800,3477000
ALKA,2021-11-03,244.00,258,234,248,34200,8417600
ALKA,2021-10-29,236.00,266,230,246,192500,46522600
ALKA,2021-10-28,246.00,248,236,236,14500,3449800
ALKA,2021-10-27,248.00,266,248,248,16100,4048000
ALKA,2021-10-26,244.00,258,244,246,22000,5449400
ALKA,2021-10-25,250.00,280,248,248,244400,64297400
ALKA,2021-10-19,260.00,260,228,246,33700,8276600
ALKA,2021-10-18,236.00,248,228,240,35500,8187400
ALKA,2021-10-15,240,240,234,234,10600,2511200
ALKA,2021-10-14,250,250,230,240,15000,3689600
ALKA,2021-10-12,234,276,234,240,35800,8793000
ALKA,2021-10-11,240,268,232,248,49300,11864000
ALKA,2021-10-07,268,276,258,258,20900,5533400
ALKA,2021-10-06,250,270,248,268,14000,3635000
ALKA,2021-10-05,246,292,242,250,199700,54098600
ALKA,2021-10-04,240,250,240,246,10800,2633200
ALKA,2021-10-01,240,268,236,240,88500,22660800
ALKA,2021-09-30,238,264,238,240,28700,6981000
ALKA,2021-09-29,228,278,222,238,116900,29590200
ALKA,2021-09-28,238,238,228,228,55800,12851000
ALKA,2021-09-27,252,252,238,238,40800,9781200
ALKA,2021-09-24,272,272,254,254,130300,33136200
ALKA,2021-09-23,292,294,272,272,244100,68282000
ALKA,2021-09-22,234,292,230,292,541800,149833600
ALKA,2021-09-20,238,244,226,242,51800,12378000
ALKA,2021-09-17,220,242,220,238,14300,3349800
ALKA,2021-09-15,230,240,214,214,12400,2843400
ALKA,2021-09-09,234,234,222,226,18200,4205000
ALKA,2021-09-07,250,254,226,236,11800,2800000
ALKA,2021-09-06,220,248,218,236,10100,2296800
ALKA,2021-09-03,234,236,218,220,30900,7163800
ALKA,2021-09-02,220,258,220,234,11800,2735200
ALKA,2021-09-01,222,260,222,222,82100,19551200
ALKA,2021-08-20,226,232,214,230,43800,9706200
ALKA,2021-08-18,240,258,220,222,21500,4994000
ALKA,2021-08-12,230,230,218,220,14700,3236000
