id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
AMAG,2022-01-03,340.00,340,338,338,10900,3684400
AMAG,2021-12-30,338.00,338,334,336,22300,7483600
AMAG,2021-12-29,334.00,338,332,336,48000,16054400
AMAG,2021-12-28,338.00,346,334,334,313300,104746800
AMAG,2021-12-27,338.00,344,334,338,221900,74859200
AMAG,2021-12-24,340.00,340,336,338,447300,150350000
AMAG,2021-12-23,346.00,346,334,340,140300,47304600
AMAG,2021-12-22,342.00,360,338,342,274200,93008400
AMAG,2021-12-21,338.00,340,334,338,62700,21174800
AMAG,2021-12-20,338.00,340,336,338,84000,28396600
AMAG,2021-12-17,336.00,338,330,338,100900,33534800
AMAG,2021-12-16,340.00,342,336,336,379500,128423800
AMAG,2021-12-15,340.00,340,338,340,1038300,353021800
AMAG,2021-12-14,344.00,344,338,340,1100700,374473000
AMAG,2021-12-13,340.00,344,338,340,389300,132370600
AMAG,2021-12-10,342.00,342,336,340,231800,78342000
AMAG,2021-12-09,348.00,348,336,342,211500,71774000
AMAG,2021-12-08,342.00,356,338,340,2366000,805956400
AMAG,2021-12-07,346.00,358,340,340,42000,14483400
AMAG,2021-12-06,344.00,350,340,344,19100,6551000
AMAG,2021-12-02,344.00,344,340,342,28500,9694400
AMAG,2021-12-01,348.00,358,342,344,132300,45653000
AMAG,2021-11-30,340.00,366,336,348,135600,47483400
AMAG,2021-11-29,340.00,344,338,340,184200,62466600
AMAG,2021-11-26,346.00,358,340,342,271100,95285800
AMAG,2021-11-25,346.00,352,344,348,34700,11973200
AMAG,2021-11-24,358.00,358,344,346,200200,70408600
AMAG,2021-11-23,340.00,356,336,346,9133600,3106606000
AMAG,2021-11-22,340.00,340,336,338,395800,134423000
AMAG,2021-11-19,340.00,342,338,340,582000,197763000
AMAG,2021-11-18,336.00,340,336,340,927000,314848400
AMAG,2021-11-17,338.00,338,334,336,43100,14498200
AMAG,2021-11-16,336.00,338,334,338,36100,12115800
AMAG,2021-11-15,340.00,340,336,338,41900,14178200
AMAG,2021-11-12,338.00,340,336,340,205800,69549000
AMAG,2021-11-11,338.00,340,336,340,311900,106028600
AMAG,2021-11-10,340.00,340,336,338,208900,70631200
AMAG,2021-11-09,338.00,342,338,338,1532300,519643600
AMAG,2021-11-08,336.00,338,330,338,54400,18039400
AMAG,2021-11-05,336.00,340,332,338,103200,34630600
AMAG,2021-11-04,334.00,338,334,336,44900,15056800
AMAG,2021-11-03,338.00,338,334,334,13300,4467000
AMAG,2021-11-02,338.00,338,334,338,14200,4758400
AMAG,2021-11-01,334.00,340,334,338,62600,21044600
AMAG,2021-10-29,334.00,338,334,334,74900,25060800
AMAG,2021-10-28,336.00,336,330,334,40200,13363800
AMAG,2021-10-27,336.00,338,334,336,10200,3427200
AMAG,2021-10-26,338.00,340,334,336,105000,35389800
AMAG,2021-10-25,338.00,340,334,338,45800,15465200
AMAG,2021-10-22,340.00,340,336,338,315400,107125800
AMAG,2021-10-21,334.00,340,334,340,158700,53684600
AMAG,2021-10-19,340.00,340,334,334,35700,11960400
AMAG,2021-10-18,332.00,338,332,338,62200,20902400
AMAG,2021-10-15,336,340,332,332,14700,4906400
AMAG,2021-10-14,336,340,332,338,72100,24287000
AMAG,2021-10-13,336,340,334,336,556600,187473400
AMAG,2021-10-12,344,344,334,334,38600,13068800
AMAG,2021-10-11,334,342,330,340,240400,81747400
AMAG,2021-10-08,330,334,312,334,241700,78264400
AMAG,2021-10-07,330,332,320,330,260000,85103400
AMAG,2021-10-06,332,332,326,330,41600,13629400
AMAG,2021-10-05,330,330,326,330,14300,4709000
AMAG,2021-10-04,330,334,326,330,89800,29639000
AMAG,2021-10-01,334,334,312,330,482300,155849000
AMAG,2021-09-30,336,340,320,332,112400,37484400
AMAG,2021-09-29,346,348,336,336,77800,26464400
AMAG,2021-09-28,354,354,328,340,611600,205580200
AMAG,2021-09-27,344,358,344,352,705800,249661000
AMAG,2021-09-24,330,380,330,344,2326100,816539800
AMAG,2021-09-23,326,338,326,330,993800,332068400
AMAG,2021-09-22,324,340,320,326,311000,102583800
AMAG,2021-09-21,314,326,312,324,35800,11446600
AMAG,2021-09-20,326,328,304,312,176000,54337800
AMAG,2021-09-17,324,328,320,326,49900,16157400
AMAG,2021-09-16,328,330,322,322,110000,35651800
AMAG,2021-09-15,324,330,322,324,313000,101893400
AMAG,2021-09-14,320,328,318,324,19100,6189200
AMAG,2021-09-13,328,328,318,320,27600,8838600
AMAG,2021-09-10,324,330,316,328,107800,34938000
AMAG,2021-09-09,326,330,314,324,33900,10937400
AMAG,2021-09-08,316,330,316,326,283100,91276200
AMAG,2021-09-07,318,320,314,318,57600,18230800
AMAG,2021-09-06,318,322,306,310,308000,96269400
AMAG,2021-09-03,308,318,302,318,296100,92922200
AMAG,2021-09-02,308,310,304,308,53800,16433600
AMAG,2021-09-01,314,314,304,308,373400,115425600
AMAG,2021-08-31,312,318,306,306,817600,252583200
AMAG,2021-08-30,314,316,300,312,210000,64948000
AMAG,2021-08-27,312,316,300,314,567200,173313000
AMAG,2021-08-26,310,316,304,312,81600,25405000
AMAG,2021-08-25,308,312,304,310,53100,16442800
AMAG,2021-08-24,308,320,308,308,206200,63757000
AMAG,2021-08-23,302,318,300,308,460500,141831000
AMAG,2021-08-20,308,318,300,302,164800,50143600
AMAG,2021-08-19,302,316,300,308,384900,118538000
AMAG,2021-08-18,300,312,300,302,280700,85371000
AMAG,2021-08-16,302,310,294,300,243100,73240600
AMAG,2021-08-13,308,308,298,300,69900,21172400
AMAG,2021-08-12,314,332,294,304,1253700,378248600
