id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
AMAR,2022-01-31,505.00,545,476,520,99632600,50749822300
AMAR,2022-01-28,515.00,545,510,510,48248600,24796893500
AMAR,2022-01-27,590.00,590,545,545,59478300,33003821000
AMAR,2022-01-26,540.00,630,540,585,138001200,80423386000
AMAR,2022-01-25,580.00,620,580,580,64263900,37696420500
AMAR,2022-01-24,620.00,620,620,620,12279700,7613414000
AMAR,2022-01-21,700.00,730,665,665,124456800,84426766000
AMAR,2022-01-20,680.00,715,680,715,131713700,91381293500
AMAR,2022-01-19,780.00,820,730,730,40584500,29981054000
AMAR,2022-01-18,600.00,780,600,780,238753200,168307739000
AMAR,2022-01-17,530.00,635,510,625,153272000,91398050000
AMAR,2022-01-14,498.00,550,492,530,58869200,30921933900
AMAR,2022-01-13,480.00,510,464,488,18399800,9129137500
AMAR,2022-01-12,510.00,515,474,480,13691200,6704586900
AMAR,2022-01-11,530.00,535,490,505,24174000,12190552700
