id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
APEX,2022-01-03,860.00,870,795,810,1038300,847997500
APEX,2021-12-30,670.00,850,650,850,1787100,1460048500
APEX,2021-12-29,730.00,760,680,680,192500,135385500
APEX,2021-12-28,790.00,790,730,730,294600,217976500
APEX,2021-12-27,790.00,825,770,780,346700,274964000
APEX,2021-12-24,800.00,800,755,790,174000,135519500
APEX,2021-12-23,820.00,840,780,800,549000,440475000
APEX,2021-12-22,755.00,860,755,810,1489600,1185593000
APEX,2021-12-21,830.00,900,755,760,1639200,1326486000
APEX,2021-12-20,740.00,810,740,810,1014600,819499000
APEX,2021-12-17,520.00,650,510,650,1104000,681740500
APEX,2021-12-14,530.00,540,520,520,27900,14679500
APEX,2021-12-13,540.00,545,530,535,19100,10292500
APEX,2021-12-10,535.00,585,525,530,152700,83581500
APEX,2021-12-09,520.00,540,515,525,71600,37568500
APEX,2021-12-08,520.00,520,515,520,12000,6209500
APEX,2021-12-07,520.00,520,515,520,12200,6319000
APEX,2021-12-06,525.00,525,520,520,21500,11207000
APEX,2021-12-03,530.00,545,520,530,44300,23317000
APEX,2021-12-02,555.00,555,530,530,27700,14735500
APEX,2021-12-01,530.00,555,525,555,34200,18090500
APEX,2021-11-30,530.00,545,530,535,17700,9448000
APEX,2021-11-29,540.00,540,530,530,26400,14119000
APEX,2021-11-26,550.00,550,535,535,17400,9373500
APEX,2021-11-25,550.00,555,535,550,42200,22777500
APEX,2021-11-24,540.00,560,540,555,18300,10104000
APEX,2021-11-23,555.00,555,540,540,35900,19463000
APEX,2021-11-19,550.00,560,550,550,16500,9087000
APEX,2021-11-18,565.00,565,545,550,24800,13697500
APEX,2021-11-17,565.00,570,550,565,27300,15327500
APEX,2021-11-16,555.00,575,555,570,15300,8659500
APEX,2021-11-15,575.00,575,540,565,70400,38714500
APEX,2021-11-11,550.00,595,540,565,46200,25974000
APEX,2021-11-10,540.00,560,540,555,20200,11108500
APEX,2021-11-09,550.00,550,530,535,43100,23117500
APEX,2021-11-05,550.00,560,540,550,18200,10022000
APEX,2021-11-04,535.00,555,535,550,25000,13691500
APEX,2021-11-03,545.00,550,530,535,31200,16816500
APEX,2021-11-02,570.00,570,545,550,16300,9039000
APEX,2021-11-01,555.00,575,530,560,22500,12205500
APEX,2021-10-29,540.00,555,540,555,21000,11399500
APEX,2021-10-28,580.00,580,550,550,15800,8725000
APEX,2021-10-27,590.00,590,575,580,10800,6323000
APEX,2021-10-26,590.00,595,570,590,33500,19462000
APEX,2021-10-25,575.00,600,570,590,106900,62529500
APEX,2021-10-22,560.00,600,540,570,87100,49802000
APEX,2021-10-21,555.00,560,550,560,19800,10960500
APEX,2021-10-19,555.00,595,530,550,57200,31739000
APEX,2021-10-18,545.00,560,545,550,24000,13221500
APEX,2021-10-15,600,600,540,545,26800,15075000
APEX,2021-10-14,545,550,545,550,37400,20503500
APEX,2021-10-12,550,560,535,550,47700,25898500
APEX,2021-10-11,545,555,535,545,28200,15399500
APEX,2021-10-08,560,560,535,535,40500,22111500
APEX,2021-10-07,550,560,545,545,10800,5930500
APEX,2021-10-06,560,565,530,545,68600,37065500
APEX,2021-10-05,540,550,540,540,25500,13881000
APEX,2021-10-04,560,565,535,540,23600,12841500
APEX,2021-10-01,545,585,535,540,10000,5428500
APEX,2021-09-30,560,565,530,540,77400,41835000
APEX,2021-09-29,545,610,535,555,30800,16846000
APEX,2021-09-28,545,570,540,545,66800,36827000
APEX,2021-09-27,540,610,535,550,227100,126487500
APEX,2021-09-24,530,540,530,530,11700,6207500
APEX,2021-09-23,545,545,525,540,41800,22339500
APEX,2021-09-22,530,540,530,530,17300,9195000
APEX,2021-09-21,530,540,530,530,31600,16755000
APEX,2021-09-20,545,545,525,540,26900,14379000
APEX,2021-09-17,545,550,535,545,60800,32885000
APEX,2021-09-16,545,545,535,545,29000,15578000
APEX,2021-09-15,540,545,535,540,28700,15472000
APEX,2021-09-14,540,550,535,535,40000,21558500
APEX,2021-09-10,540,540,535,540,30300,16236500
APEX,2021-09-09,550,560,540,540,18600,10206000
APEX,2021-09-08,565,565,545,550,14800,8173500
APEX,2021-09-07,550,630,540,560,89500,51225500
APEX,2021-09-06,550,560,540,550,22800,12537500
APEX,2021-09-03,550,550,540,550,17500,9607000
APEX,2021-09-02,535,550,535,550,18300,10042500
APEX,2021-09-01,530,555,530,555,42900,23291000
APEX,2021-08-31,560,560,525,530,30200,16347500
APEX,2021-08-30,535,550,520,550,43800,23320500
APEX,2021-08-27,560,575,535,535,51700,28314000
APEX,2021-08-26,555,590,555,560,29300,16612000
APEX,2021-08-25,565,595,555,555,17000,9614500
APEX,2021-08-24,565,575,555,565,14600,8277500
APEX,2021-08-23,550,600,550,565,29300,16558000
APEX,2021-08-20,530,565,530,535,29800,16427000
APEX,2021-08-18,535,590,525,525,55300,29661500
APEX,2021-08-16,575,575,535,560,32800,18384000
APEX,2021-08-13,550,600,550,575,76000,43765500
APEX,2021-08-12,540,550,535,550,68900,37016000
