id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
ARCI,2022-01-03,555.00,555,530,530,22317900,11882165500
ARCI,2021-12-30,540.00,565,535,565,3671200,2027575500
ARCI,2021-12-29,545.00,555,535,550,4632100,2515148500
ARCI,2021-12-28,550.00,550,535,545,31361700,17085628500
ARCI,2021-12-27,575.00,580,540,545,5373600,2980682000
ARCI,2021-12-24,545.00,585,540,570,12932200,7354909500
ARCI,2021-12-23,540.00,545,530,540,7539000,4034256000
ARCI,2021-12-22,540.00,550,535,535,3668900,1974987500
ARCI,2021-12-21,545.00,550,540,540,2370000,1283682500
ARCI,2021-12-20,560.00,560,545,545,1618600,893625000
ARCI,2021-12-17,555.00,560,545,560,2721400,1499707000
ARCI,2021-12-16,555.00,560,545,550,4060100,2246475000
ARCI,2021-12-15,550.00,560,540,555,1997100,1098531500
ARCI,2021-12-14,555.00,560,550,550,2769600,1535501500
ARCI,2021-12-13,555.00,565,550,555,2579400,1435082500
ARCI,2021-12-10,560.00,570,550,555,3970900,2224719000
ARCI,2021-12-09,565.00,565,550,560,2236000,1247419000
ARCI,2021-12-08,555.00,570,555,560,17177800,9622801500
ARCI,2021-12-07,560.00,565,545,555,22183300,12304530500
ARCI,2021-12-06,555.00,565,555,560,9611500,5382010500
ARCI,2021-12-03,550.00,555,545,550,16473600,9060567500
ARCI,2021-12-02,550.00,555,545,550,3954100,2167548000
ARCI,2021-12-01,550.00,560,545,550,4016600,2209439500
ARCI,2021-11-30,560.00,570,550,550,6068400,3378027000
ARCI,2021-11-29,570.00,570,545,550,26503100,14669961500
ARCI,2021-11-26,595.00,585,555,560,9928000,5601157500
ARCI,2021-11-25,595.00,600,580,580,13053400,7599040000
ARCI,2021-11-24,595.00,605,580,590,9336800,5488001500
ARCI,2021-11-23,610.00,610,595,595,3939600,2366895500
ARCI,2021-11-22,625.00,635,610,610,4558700,2802619000
ARCI,2021-11-19,600.00,630,590,620,25453400,15737218500
ARCI,2021-11-18,600.00,605,590,595,3385800,2021117500
ARCI,2021-11-17,590.00,600,585,600,3233300,1910424000
