id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
ARII,2022-01-31,246.00,248,242,248,78400,19343800
ARII,2022-01-28,254.00,262,246,248,244700,61290400
ARII,2022-01-27,282.00,282,254,264,87200,22916600
ARII,2022-01-26,262.00,264,250,262,180800,46502200
ARII,2022-01-25,254.00,282,248,262,862700,230213200
ARII,2022-01-24,244.00,256,244,254,56000,14050000
ARII,2022-01-21,250.00,250,242,246,67700,16637200
ARII,2022-01-20,248.00,250,242,250,51600,12632000
ARII,2022-01-19,240.00,250,240,250,64500,15870400
ARII,2022-01-18,248.00,248,236,246,162100,39171600
ARII,2022-01-17,248.00,248,244,248,47800,11850200
ARII,2022-01-14,250.00,250,240,248,249700,60855200
ARII,2022-01-13,246.00,256,246,250,105300,26361000
ARII,2022-01-12,254.00,254,246,254,90900,22841000
ARII,2022-01-11,260.00,264,250,252,232500,59359600
