id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
ARTO,2022-01-03,16000.00,17550,15975,17325,42672000,734129317500
ARTO,2021-12-30,17125.00,17250,16000,16000,30775900,511981520000
ARTO,2021-12-29,17200.00,17325,16850,17125,19443100,332675087500
ARTO,2021-12-28,16825.00,17275,16725,17125,28623200,487782957500
ARTO,2021-12-27,17250.00,17500,16800,16825,17444900,298048315000
ARTO,2021-12-24,17500.00,17875,17125,17250,21820200,380368710000
ARTO,2021-12-23,16500.00,17775,16500,17650,56203700,974152840000
ARTO,2021-12-22,15800.00,16625,15775,16475,45325200,744253940000
ARTO,2021-12-21,15700.00,15800,15550,15775,17748000,278973755000
ARTO,2021-12-20,16000.00,16125,15525,15775,25065300,393998015000
ARTO,2021-12-17,16175.00,16500,15800,15900,30740700,500041380000
ARTO,2021-12-16,15725.00,16175,15350,16175,28939300,458553815000
ARTO,2021-12-15,15400.00,16200,15350,15625,32746400,523840390000
ARTO,2021-12-14,15800.00,15800,15300,15350,15279000,236128175000
ARTO,2021-12-13,16000.00,16000,15550,15775,21613800,340526247500
ARTO,2021-12-10,15725.00,16000,15625,15950,21840100,346768215000
ARTO,2021-12-09,15700.00,15975,15500,15725,25714400,404966585000
ARTO,2021-12-08,15100.00,15600,15100,15575,25051200,384410832500
ARTO,2021-12-07,15450.00,15600,15075,15100,22444500,345051057500
ARTO,2021-12-06,15200.00,15875,15100,15400,22034400,343142850000
ARTO,2021-12-03,15425.00,16000,15200,15250,19171000,300407477500
ARTO,2021-12-02,15525.00,15575,15000,15450,17967900,274875195000
ARTO,2021-12-01,15825.00,15850,15025,15550,20305900,314129612500
ARTO,2021-11-30,15375.00,16125,15325,15825,28392600,447846482500
ARTO,2021-11-29,14550.00,15450,14500,15375,30523700,461616435000
ARTO,2021-11-26,15450.00,15475,14550,14750,21172600,318498822500
ARTO,2021-11-25,15450.00,15725,15200,15200,33567500,520851952500
ARTO,2021-11-24,14700.00,15500,14325,15200,38573200,577057637500
ARTO,2021-11-23,15500.00,15500,14700,14700,18673500,278568340000
ARTO,2021-11-22,15500.00,15675,15275,15500,21151400,326334990000
ARTO,2021-11-19,15450.00,15775,15200,15500,25591600,398027555000
ARTO,2021-11-18,15800.00,15800,15300,15450,28210500,437766730000
ARTO,2021-11-17,15825.00,15875,15700,15800,19203700,303884752500
ARTO,2021-11-16,15625.00,15875,15200,15825,38489300,600256752500
ARTO,2021-11-15,15700.00,15800,15050,15625,30984600,477260555000
ARTO,2021-11-12,16275.00,16275,15250,15500,33601500,525656930000
ARTO,2021-11-11,16400.00,16450,15600,16275,26032900,415754400000
ARTO,2021-11-10,16700.00,16975,16225,16425,20583500,339838055000
ARTO,2021-11-09,16025.00,16825,15825,16725,52503700,861441417500
ARTO,2021-11-08,15200.00,16200,15150,16025,47249200,748744697500
ARTO,2021-11-05,15200.00,15475,15150,15175,16423000,251216382500
ARTO,2021-11-04,15450.00,15475,15000,15200,17243400,263939737500
ARTO,2021-11-03,15300.00,15475,15250,15400,20798300,320168007500
ARTO,2021-11-02,15000.00,15350,14950,15300,30852000,470051915000
ARTO,2021-11-01,15500.00,15600,15000,15000,13222100,200682500000
ARTO,2021-10-29,14850.00,15625,14850,15500,40556400,623169760000
ARTO,2021-10-28,14825.00,15000,14500,14850,26393900,392956387500
ARTO,2021-10-27,15200.00,15375,14825,14825,12337100,185726325000
ARTO,2021-10-26,14900.00,15450,14900,15175,38421200,586185637500
ARTO,2021-10-25,14900.00,15200,14850,14925,19603900,293620475000
ARTO,2021-10-22,14850.00,15150,14500,14900,49227200,736379655000
ARTO,2021-10-21,13850.00,14750,13625,14750,31045000,438986137500
ARTO,2021-10-19,13300.00,13900,13100,13825,29051000,389618887500
ARTO,2021-10-18,13125.00,13575,12750,13425,23565800,311887600000
ARTO,2021-10-15,12375,13200,12100,13125,42019800,536311780000
ARTO,2021-10-14,12250,12750,11800,12375,37990300,470832542500
ARTO,2021-10-13,12700,12725,12100,12250,24931700,307428782500
ARTO,2021-10-12,12350,13000,12300,12700,43069800,542802012500
ARTO,2021-10-11,12925,12925,12100,12350,30761000,380738497500
ARTO,2021-10-08,13200,13450,12550,12925,24512100,316720785000
ARTO,2021-10-07,13600,14000,13000,13125,16374300,219737002500
ARTO,2021-10-06,13825,14250,13425,13600,23720200,327355520000
ARTO,2021-10-05,14500,14750,13650,13825,20418000,287916597500
ARTO,2021-10-04,15075,15475,14400,14500,13945100,209374632500
ARTO,2021-10-01,15100,15175,14350,15075,10009700,148741670000
ARTO,2021-09-30,14975,15200,14900,15100,6544800,98280600000
ARTO,2021-09-29,15000,15425,14800,14950,8557400,129524592500
ARTO,2021-09-28,15900,16000,14925,15100,13745400,212823187500
ARTO,2021-09-27,15950,16400,15800,15900,19340200,309717362500
ARTO,2021-09-24,16675,16700,15850,15950,30631800,500108010000
ARTO,2021-09-23,16300,16800,16200,16675,39647900,662743747500
ARTO,2021-09-22,15850,16550,15850,16300,41239300,674769257500
ARTO,2021-09-21,16000,16000,15375,15700,17829300,281043655000
ARTO,2021-09-20,15750,16600,15750,16175,29115500,473006647500
ARTO,2021-09-17,14800,16100,14625,15850,53906100,846906370000
ARTO,2021-09-16,14700,14975,14375,14800,24316100,357688852500
ARTO,2021-09-15,14950,14950,14600,14700,13392100,197027850000
ARTO,2021-09-14,15000,15175,14600,14950,23266700,346892182500
ARTO,2021-09-13,14825,15025,14350,14925,24247600,354805317500
ARTO,2021-09-10,14000,14875,14000,14825,31327700,451918140000
ARTO,2021-09-09,13975,14325,13675,14000,25857100,362850262500
ARTO,2021-09-08,14200,14275,13650,13975,30468400,426098892500
ARTO,2021-09-07,14425,14500,14125,14200,15093500,214676925000
ARTO,2021-09-06,14750,14875,14050,14425,20351900,292187002500
ARTO,2021-09-03,14100,14775,13500,14650,38612600,543933505000
ARTO,2021-09-02,14500,14600,13750,14050,24246500,341311445000
ARTO,2021-09-01,15150,15425,14450,14500,18838700,281446610000
ARTO,2021-08-31,15725,15800,15050,15175,17250700,264998985000
ARTO,2021-08-30,15825,16025,15500,15725,19513400,306185795000
ARTO,2021-08-27,15825,15925,15500,15525,13860500,217086210000
ARTO,2021-08-26,16500,16550,15700,15825,12954100,208369745000
ARTO,2021-08-25,16200,16675,16175,16500,20048900,331414877500
ARTO,2021-08-24,16475,16500,16175,16200,11844400,193010575000
ARTO,2021-08-23,16100,16550,15900,16475,18048800,293880132500
ARTO,2021-08-20,16000,16125,15650,16000,20012400,318343482500
ARTO,2021-08-19,16800,16900,15850,16000,16060800,260435527500
ARTO,2021-08-18,15750,16900,15550,16800,53015700,874675355000
ARTO,2021-08-16,16225,16400,15500,15750,17580800,279635842500
ARTO,2021-08-13,16750,16875,16125,16225,17193600,281848400000
ARTO,2021-08-12,16000,16775,15400,16700,25169500,410682325000
