id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
ASPI,2022-01-31,72.00,73,69,73,2684300,190095900
ASPI,2022-01-28,72.00,73,72,72,557000,40207100
ASPI,2022-01-27,73.00,74,71,72,1006800,72492200
ASPI,2022-01-26,73.00,75,72,73,1779500,130596000
ASPI,2022-01-25,73.00,74,71,74,1967900,141955300
ASPI,2022-01-24,73.00,76,72,73,2699400,200652300
ASPI,2022-01-21,74.00,76,72,73,3449400,250621300
ASPI,2022-01-20,72.00,78,71,74,18661700,1395427000
ASPI,2022-01-19,70.00,76,69,72,9443400,689191000
ASPI,2022-01-18,73.00,74,68,70,10859200,746789900
ASPI,2022-01-17,75.00,75,72,73,1742900,127114900
ASPI,2022-01-14,76.00,76,74,75,790400,59169400
ASPI,2022-01-13,76.00,77,75,76,808700,61023700
ASPI,2022-01-12,76.00,77,75,76,1327300,100465300
ASPI,2022-01-11,74.00,78,74,76,4479500,339102900
