id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
ASRI,2022-01-03,162.00,165,162,164,5491400,895161700
ASRI,2021-12-30,163.00,164,161,162,5784400,934229100
ASRI,2021-12-29,165.00,166,162,162,5666600,922587200
ASRI,2021-12-28,165.00,166,163,165,8036500,1324663400
ASRI,2021-12-27,162.00,165,162,163,6855500,1119543900
ASRI,2021-12-24,163.00,165,162,162,4007900,651922800
ASRI,2021-12-23,163.00,164,160,162,6965600,1129077800
ASRI,2021-12-22,164.00,167,163,163,12391900,2035016000
ASRI,2021-12-21,162.00,164,160,163,10408900,1684343100
ASRI,2021-12-20,168.00,168,161,162,16964400,2783235300
ASRI,2021-12-17,169.00,169,167,168,5372500,901197600
ASRI,2021-12-16,169.00,171,166,168,6883400,1155213300
ASRI,2021-12-15,171.00,171,168,169,3896700,660092600
ASRI,2021-12-14,172.00,172,168,171,10233400,1727790200
ASRI,2021-12-13,171.00,174,170,172,7623000,1311062900
ASRI,2021-12-10,173.00,173,171,171,5013700,860295100
ASRI,2021-12-09,171.00,174,171,172,8395300,1446679300
ASRI,2021-12-08,172.00,175,170,171,17707000,3050146800
ASRI,2021-12-07,168.00,172,168,171,9984600,1702207200
ASRI,2021-12-06,170.00,172,167,168,8420400,1420578600
ASRI,2021-12-03,170.00,173,166,170,14930200,2533141700
ASRI,2021-12-02,167.00,169,161,169,14811900,2447528300
ASRI,2021-12-01,172.00,173,165,167,27707800,4652623300
ASRI,2021-11-30,175.00,178,172,172,21476600,3746548600
ASRI,2021-11-29,179.00,179,171,175,29309500,5117529800
ASRI,2021-11-26,189.00,186,178,179,46375300,8434001000
ASRI,2021-11-25,189.00,190,185,185,29109300,5465737900
ASRI,2021-11-24,185.00,192,185,188,59437400,11195204600
ASRI,2021-11-23,184.00,187,184,185,20547200,3804682000
ASRI,2021-11-22,183.00,187,182,184,12465800,2306881100
ASRI,2021-11-19,184.00,186,182,184,16729200,3069341500
ASRI,2021-11-18,184.00,187,183,184,10384700,1920972200
ASRI,2021-11-17,184.00,187,184,184,14631400,2707933000
ASRI,2021-11-16,183.00,186,182,184,10210900,1879676300
