id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
ASSA,2022-01-31,2960.00,3000,2760,2760,11009800,31024465000
ASSA,2022-01-28,2980.00,3030,2880,2960,15525100,45689865000
ASSA,2022-01-27,2800.00,2980,2630,2970,67594600,185870998000
ASSA,2022-01-26,3050.00,3050,2820,2820,5735500,16273383000
ASSA,2022-01-25,3220.00,3290,3030,3030,21541800,65909464000
ASSA,2022-01-24,3270.00,3310,3210,3250,8742200,28343860000
ASSA,2022-01-21,3240.00,3320,3180,3260,6796900,22015065000
ASSA,2022-01-20,3240.00,3280,3210,3220,3743500,12096881000
ASSA,2022-01-19,3300.00,3340,3230,3240,5959400,19397656000
ASSA,2022-01-18,3400.00,3460,3270,3300,5166000,17238597000
ASSA,2022-01-17,3420.00,3530,3350,3410,12182900,42167360000
ASSA,2022-01-14,3360.00,3400,3310,3390,3901000,13120774000
ASSA,2022-01-13,3310.00,3370,3250,3360,5181700,17172441000
ASSA,2022-01-12,3200.00,3370,3160,3310,13110700,42978993000
ASSA,2022-01-11,3370.00,3370,3140,3140,23187700,74450513000
