id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
BABP,2022-01-31,147.00,160,147,156,168405000,26200279200
BABP,2022-01-28,142.00,152,142,146,96241100,14123240300
BABP,2022-01-27,149.00,152,140,142,99682000,14370546200
BABP,2022-01-26,153.00,160,146,149,288711700,44170181800
BABP,2022-01-25,165.00,165,153,153,228837600,35741944300
BABP,2022-01-24,158.00,183,158,164,626588800,107827994900
BABP,2022-01-21,159.00,164,158,158,37875200,6062472700
BABP,2022-01-20,164.00,165,158,159,74789500,12040045400
BABP,2022-01-19,161.00,164,157,163,44367900,7159965300
BABP,2022-01-18,163.00,168,153,160,80204200,12838327000
BABP,2022-01-17,166.00,168,161,163,62116000,10231215900
BABP,2022-01-14,163.00,172,156,163,165328400,27366158800
BABP,2022-01-13,150.00,172,149,159,315780700,50793881500
BABP,2022-01-12,159.00,160,148,149,134759300,20613775000
BABP,2022-01-11,171.00,173,159,159,124046400,20120522500
