id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
BBKP,2022-01-03,270.00,276,268,274,122348900,33324882400
BBKP,2021-12-30,272.00,276,268,270,147596500,40098203400
BBKP,2021-12-29,284.00,286,270,272,268338800,73937914600
BBKP,2021-12-28,286.00,296,280,282,246611500,70605443400
BBKP,2021-12-27,290.00,290,286,286,77126600,22177822200
BBKP,2021-12-24,288.00,290,286,290,61568700,17747900200
BBKP,2021-12-23,288.00,292,284,288,80133900,23043122600
BBKP,2021-12-22,292.00,298,286,288,144843100,42181466400
BBKP,2021-12-21,292.00,298,292,292,97393100,28593433000
BBKP,2021-12-20,300.00,300,288,292,225682500,66190811200
BBKP,2021-12-17,302.00,304,298,298,171277600,51428340000
BBKP,2021-12-16,304.00,306,298,302,186824900,56211276400
BBKP,2021-12-15,304.00,308,302,302,98087900,29795872600
BBKP,2021-12-14,310.00,312,300,304,220441900,66969903200
BBKP,2021-12-13,306.00,316,306,310,258943000,80655894400
BBKP,2021-12-10,312.00,316,306,306,236006100,73114712400
BBKP,2021-12-09,298.00,312,296,312,411440400,126435864800
BBKP,2021-12-08,302.00,306,296,298,266018300,79772260800
BBKP,2021-12-07,306.00,310,298,300,415801300,126746134000
BBKP,2021-12-06,296.00,308,290,304,441552500,133321558600
BBKP,2021-12-03,298.00,300,294,296,155465500,46229453600
BBKP,2021-12-02,282.00,304,278,296,536827300,156740451000
BBKP,2021-12-01,294.00,302,284,286,446727300,130248889200
BBKP,2021-11-30,304.00,312,292,298,546515000,164202576600
BBKP,2021-11-29,312.00,320,300,304,957259400,298033554000
BBKP,2021-11-26,316.00,330,304,314,1310176600,419247125800
BBKP,2021-11-25,316.00,318,306,310,491389200,153509508400
BBKP,2021-11-24,278.00,322,278,314,2296475700,690340085000
BBKP,2021-11-23,298.00,298,298,298,67276800,20048486400
BBKP,2021-11-22,320.00,320,320,320,77043400,24653888000
BBKP,2021-11-19,346.00,358,340,342,182960200,63417103800
BBKP,2021-11-18,366.00,366,342,348,345221000,120529892000
BBKP,2021-11-17,290.00,382,290,366,808894600,293268821400
BBKP,2021-11-16,410.00,442,400,430,616506200,262992538800
BBKP,2021-11-15,372.00,410,362,410,467856800,180060059400
BBKP,2021-11-12,334.00,378,334,374,886396600,310379762600
BBKP,2021-11-11,358.00,358,358,358,52224700,18696442600
BBKP,2021-11-10,404.00,404,384,384,125719000,48276138000
BBKP,2021-11-09,444.00,450,412,412,403118100,170319141200
BBKP,2021-11-08,430.00,448,430,442,181412200,80159895800
BBKP,2021-11-05,428.00,440,426,430,103172600,44746072400
BBKP,2021-11-04,426.00,432,426,428,49458000,21223832800
BBKP,2021-11-03,424.00,430,420,426,46597500,19799792600
BBKP,2021-11-02,430.00,434,422,424,53201100,22687628200
BBKP,2021-11-01,430.00,438,428,430,33131500,14341719000
BBKP,2021-10-29,430.00,436,428,428,44120000,19000015400
BBKP,2021-10-28,434.00,442,424,430,86068400,37127541800
BBKP,2021-10-27,442.00,442,434,434,48553100,21167456200
BBKP,2021-10-26,444.00,450,438,440,64812400,28675790200
BBKP,2021-10-25,444.00,458,444,444,179172200,80681058600
BBKP,2021-10-22,438.00,446,430,444,65395600,28706275200
BBKP,2021-10-21,446.00,452,432,434,127017900,55638719200
BBKP,2021-10-19,456.00,458,442,446,157409800,70786182600
BBKP,2021-10-18,426.00,458,426,452,397162400,177202543000
BBKP,2021-10-15,420,430,418,424,75027500,31843268600
BBKP,2021-10-14,418,424,412,418,127617000,53238054000
BBKP,2021-10-13,424,426,414,414,91216500,38193360600
BBKP,2021-10-12,422,428,420,422,61878400,26210111600
BBKP,2021-10-11,436,442,422,422,87910600,37625623000
BBKP,2021-10-08,446,450,434,436,130928100,57526050200
BBKP,2021-10-07,418,448,418,442,382564800,167172798000
BBKP,2021-10-06,420,424,414,418,119778900,50246389800
BBKP,2021-10-05,426,426,416,416,89815100,37689311000
BBKP,2021-10-04,416,428,416,424,85458800,36185863800
BBKP,2021-10-01,418,422,412,416,51202300,21415985400
BBKP,2021-09-30,430,432,414,418,106384500,44609161000
BBKP,2021-09-29,412,432,404,428,147458500,62183199400
BBKP,2021-09-28,422,426,410,412,104105700,43232150400
BBKP,2021-09-27,426,430,422,422,67941400,28845538000
BBKP,2021-09-24,430,434,426,426,77539600,33266535600
BBKP,2021-09-23,438,440,426,428,161632300,69682443800
BBKP,2021-09-22,448,452,434,436,230705100,102022960200
BBKP,2021-09-21,466,466,442,448,318123200,143988151200
BBKP,2021-09-20,458,486,440,468,723539300,339923251000
BBKP,2021-09-17,448,450,440,444,74154600,32975250800
BBKP,2021-09-16,440,448,438,446,77131400,34146850800
BBKP,2021-09-15,446,450,438,440,76098800,33588164400
BBKP,2021-09-14,444,462,444,446,247440700,111915845200
BBKP,2021-09-13,442,446,434,444,126996000,55934257200
BBKP,2021-09-10,438,452,432,442,347985500,154120640000
BBKP,2021-09-09,436,444,424,438,283592500,122607694600
BBKP,2021-09-08,460,474,432,436,434938200,194119752400
BBKP,2021-09-07,470,474,460,462,177490700,82418536200
BBKP,2021-09-06,486,488,460,470,213713900,101144296800
BBKP,2021-09-03,488,490,478,486,175304900,84988325600
BBKP,2021-09-02,492,496,480,484,207543300,101227175400
BBKP,2021-09-01,476,505,470,490,523505000,256054720300
BBKP,2021-08-31,488,496,472,474,400788000,192841432600
BBKP,2021-08-30,500,510,484,486,448049300,220282184200
BBKP,2021-08-27,530,530,498,500,310267200,157803452800
BBKP,2021-08-26,540,555,525,525,227538300,122164023500
BBKP,2021-08-25,565,575,535,535,526481600,290402746000
BBKP,2021-08-24,535,580,515,555,818779100,453102959500
BBKP,2021-08-23,560,570,515,530,840235600,446126748500
BBKP,2021-08-20,510,565,510,550,1301143900,694706446500
BBKP,2021-08-19,545,545,545,545,35725400,19470343000
BBKP,2021-08-18,630,635,585,585,465916000,277944751500
BBKP,2021-08-16,610,635,590,625,923326500,569814910500
BBKP,2021-08-13,595,615,580,595,554700600,331334129500
BBKP,2021-08-12,585,635,580,595,980304000,598000023000
