id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
BBMD,2021-12-30,1970.00,2100,1905,2000,53600,107258000
BBMD,2021-12-29,1980.00,1980,1940,1940,44900,88709000
BBMD,2021-12-28,1980.00,1980,1950,1980,129700,255456000
BBMD,2021-12-27,1980.00,1980,1930,1980,84300,165626000
BBMD,2021-12-24,1990.00,1990,1935,1980,24800,49269000
BBMD,2021-12-23,1990.00,1995,1940,1990,56800,113035500
BBMD,2021-12-22,1995.00,2000,1960,1990,143500,285856000
BBMD,2021-12-21,1970.00,2000,1970,1995,100100,199505000
BBMD,2021-12-20,1970.00,2010,1970,1970,70100,139737500
BBMD,2021-12-17,1965.00,2000,1965,1970,24400,48679500
BBMD,2021-12-16,2000.00,2000,1965,1965,38300,76450500
BBMD,2021-12-15,2000.00,2000,1965,2000,18100,36176000
BBMD,2021-12-14,2010.00,2010,1985,2010,55000,109993500
BBMD,2021-12-13,2000.00,2010,1960,2010,14900,29861000
BBMD,2021-12-10,2000.00,2010,1960,2010,27400,54548500
BBMD,2021-12-09,2020.00,2030,2000,2000,69300,139462000
BBMD,2021-12-08,2000.00,2020,2000,2020,36200,72794000
BBMD,2021-12-07,2040.00,2040,2010,2020,31100,63161000
BBMD,2021-12-06,2010.00,2030,2010,2030,15500,31375000
BBMD,2021-12-03,2040.00,2040,2000,2000,27600,55509000
BBMD,2021-12-02,2030.00,2080,2000,2040,28100,57784000
BBMD,2021-12-01,2040.00,2100,2020,2020,22100,45596000
BBMD,2021-11-30,2050.00,2080,2010,2010,15000,30900000
BBMD,2021-11-29,2000.00,2050,2000,2050,23900,48043000
BBMD,2021-11-26,2000.00,2120,2010,2050,33600,68612000
BBMD,2021-11-25,2000.00,2150,1980,2080,24600,50394000
BBMD,2021-11-24,2050.00,2060,2040,2050,30100,61677000
BBMD,2021-11-23,2020.00,2060,2020,2050,41700,85142000
BBMD,2021-11-22,2060.00,2080,2020,2060,21600,44465000
BBMD,2021-11-19,2030.00,2060,1980,2060,18800,38132000
BBMD,2021-11-17,2030.00,2050,2000,2040,14000,28427000
BBMD,2021-11-16,2020.00,2050,2020,2030,12600,25683000
BBMD,2021-11-15,2000.00,2050,1965,2020,21500,43333000
BBMD,2021-11-11,2070.00,2200,2070,2090,144700,306794000
BBMD,2021-11-08,2150.00,2200,2130,2200,16800,36236000
BBMD,2021-10-22,2050.00,2090,2000,2060,10000,20461000
BBMD,2021-10-21,2250.00,2250,2040,2050,150900,312297000
BBMD,2021-10-18,2170.00,2190,2050,2140,29800,63100000
BBMD,2021-10-13,2210,2270,2150,2230,18600,41091000
BBMD,2021-10-11,2100,2300,2000,2270,48000,101880000
BBMD,2021-10-08,2000,2100,2000,2100,32400,66082000
BBMD,2021-09-30,1960,1960,1900,1945,12100,23036500
BBMD,2021-09-29,1940,1960,1940,1960,14900,29041500
BBMD,2021-09-27,1930,1930,1900,1900,10500,20259000
BBMD,2021-09-24,1920,2010,1910,1930,111600,220244000
BBMD,2021-09-22,1860,1930,1825,1870,31100,58178000
BBMD,2021-09-21,1900,1900,1840,1860,17300,32441000
BBMD,2021-09-20,1895,1950,1895,1900,34700,66447000
BBMD,2021-09-17,1920,1920,1900,1900,17300,32931000
BBMD,2021-09-16,1860,1930,1860,1920,33300,63510000
BBMD,2021-09-15,1890,1890,1810,1860,10000,18651000
BBMD,2021-09-14,1850,1860,1820,1860,17500,32293000
BBMD,2021-09-13,1880,1880,1805,1855,16900,31164500
BBMD,2021-09-10,1800,1880,1800,1880,42300,77953500
BBMD,2021-09-09,1795,1835,1780,1795,29200,52175000
BBMD,2021-09-08,1835,1835,1770,1810,65900,117876000
BBMD,2021-09-07,1860,1890,1830,1835,65500,121072000
BBMD,2021-09-06,1945,1945,1890,1890,45800,87081500
BBMD,2021-09-03,1970,1970,1945,1945,24000,47002500
BBMD,2021-09-02,1925,1975,1825,1975,53100,102318500
BBMD,2021-09-01,1895,2000,1895,1925,25900,50752500
BBMD,2021-08-31,1915,2000,1870,1900,87300,168156000
BBMD,2021-08-30,1980,2050,1920,1945,81900,162182500
BBMD,2021-08-27,1825,1980,1800,1980,92600,174429500
BBMD,2021-08-26,1745,1770,1725,1770,32500,57030500
BBMD,2021-08-25,1705,1745,1705,1720,18800,32477500
BBMD,2021-08-24,1750,1750,1715,1720,62000,107445500
BBMD,2021-08-23,1620,1740,1600,1705,119300,201183500
BBMD,2021-08-20,1585,1650,1585,1635,111200,179984000
BBMD,2021-08-19,1585,1590,1580,1585,14500,22976500
BBMD,2021-08-18,1575,1590,1575,1590,13600,21523500
BBMD,2021-08-16,1570,1580,1565,1580,22200,34900500
BBMD,2021-08-13,1575,1575,1565,1565,15600,24444500
BBMD,2021-08-12,1545,1580,1540,1580,71600,111814500
