id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
BBSI,2022-01-31,5375.00,5375,5050,5200,33100,171647500
BBSI,2022-01-28,5350.00,5425,5225,5425,20900,112467500
BBSI,2022-01-27,5400.00,5500,5200,5375,46400,249160000
BBSI,2022-01-26,5450.00,5450,5225,5400,23600,127282500
BBSI,2022-01-25,5525.00,5600,5125,5500,61300,330112500
BBSI,2022-01-24,5400.00,5525,5350,5500,29000,158225000
BBSI,2022-01-21,5475.00,5500,5100,5400,34600,185580000
BBSI,2022-01-20,5175.00,5525,5175,5475,90200,489395000
BBSI,2022-01-19,4900.00,6000,4900,5200,103500,543857500
BBSI,2022-01-18,4880.00,4920,4800,4910,45200,220848000
BBSI,2022-01-17,4800.00,4900,4700,4870,74200,358966000
BBSI,2022-01-14,4440.00,4770,4440,4770,67700,311645000
BBSI,2022-01-13,4110.00,4450,4090,4450,26000,112960000
BBSI,2022-01-12,4390.00,4400,4360,4390,40000,175857000
BBSI,2022-01-11,4390.00,4400,4350,4400,34300,150537000
