id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
BEBS,2022-01-31,5875.00,6525,5800,6375,49928000,315741335000
BEBS,2022-01-28,5475.00,6125,5350,5800,31282900,179910145000
BEBS,2022-01-27,4650.00,5575,4480,5475,51463300,273905863000
BEBS,2022-01-26,4750.00,5150,4440,4650,63477200,294635952500
BEBS,2022-01-25,4280.00,4820,4010,4750,48391700,208829864000
BEBS,2022-01-24,4590.00,4650,4280,4300,76092000,328721315000
BEBS,2022-01-21,4420.00,5000,4410,4600,41673100,194932613000
BEBS,2022-01-20,4360.00,4450,4200,4400,38455100,164855620000
BEBS,2022-01-19,4350.00,4410,4200,4370,40223900,173735846000
BEBS,2022-01-18,4220.00,4390,3960,4350,36614400,151077783000
BEBS,2022-01-17,4520.00,4520,4210,4220,38657400,164444923000
BEBS,2022-01-14,4770.00,4770,4520,4520,27892300,128806589000
BEBS,2022-01-13,5075.00,5325,4730,4750,28184700,136622891500
BEBS,2022-01-12,4510.00,5150,4330,5025,36326800,167021155500
BEBS,2022-01-11,4860.00,4920,4510,4600,24543600,115786017000
