id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
BIKA,2022-01-31,222.00,222,208,218,1499800,320535200
BIKA,2022-01-28,222.00,242,212,222,1281100,295539400
BIKA,2022-01-27,224.00,228,210,224,148300,32228800
BIKA,2022-01-26,240.00,240,224,224,359600,80753600
BIKA,2022-01-25,258.00,266,240,240,1865800,478355600
BIKA,2022-01-24,232.00,260,232,258,1428900,354169000
BIKA,2022-01-21,230.00,240,230,232,210200,49384000
BIKA,2022-01-20,232.00,232,224,230,72900,16623400
BIKA,2022-01-19,240.00,240,228,232,149100,34499000
BIKA,2022-01-18,244.00,246,238,240,24100,5842600
BIKA,2022-01-17,244.00,246,240,244,24700,6005600
BIKA,2022-01-14,246.00,254,244,246,46200,11377000
BIKA,2022-01-13,246.00,258,246,246,67400,16774000
BIKA,2022-01-12,260.00,260,246,246,134900,33768600
BIKA,2022-01-11,254.00,260,246,260,531600,136209800
