id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
BISI,2022-01-31,985.00,990,975,975,258700,252659000
BISI,2022-01-28,985.00,990,975,975,146000,142951000
BISI,2022-01-27,980.00,990,975,990,142100,139681000
BISI,2022-01-26,985.00,985,980,985,36200,35550500
BISI,2022-01-25,985.00,990,970,990,1528000,1491084500
BISI,2022-01-24,1000.00,1000,980,985,634500,623958000
BISI,2022-01-21,985.00,1000,985,1000,35300,35157000
BISI,2022-01-20,995.00,995,985,990,128700,127113000
BISI,2022-01-19,1000.00,1000,985,1000,120000,119210500
BISI,2022-01-18,995.00,1000,995,1000,74400,74329000
BISI,2022-01-17,1000.00,1000,995,995,55000,54773500
BISI,2022-01-14,1000.00,1005,995,995,253400,252771500
BISI,2022-01-13,995.00,1000,995,995,184700,184053500
BISI,2022-01-12,1005.00,1010,995,1000,607600,608288000
BISI,2022-01-11,1000.00,1005,995,1005,105000,105219500
