id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
BLTZ,2022-01-31,2620.00,2810,2620,2810,400,1099000
BLTZ,2022-01-28,2830.00,2830,2700,2770,400,1106000
BLTZ,2022-01-27,2830.00,2830,2830,2830,700,1981000
BLTZ,2022-01-26,2720.00,3400,2720,3030,3600,11515000
BLTZ,2022-01-25,2930.00,2930,2720,2720,1200,3292000
BLTZ,2022-01-24,2530.00,2950,2360,2790,3200,8278000
BLTZ,2022-01-21,2520.00,2520,2520,2520,100,252000
BLTZ,2022-01-20,2650.00,2650,2650,2650,100,265000
BLTZ,2022-01-19,2620.00,2620,2620,2620,400,1048000
BLTZ,2022-01-18,2610.00,0,0,2610,0,0
BLTZ,2022-01-17,2610.00,0,0,2610,0,0
BLTZ,2022-01-14,2610.00,2610,2610,2610,100,261000
BLTZ,2022-01-13,2800.00,2800,2740,2780,300,832000
BLTZ,2022-01-12,3300.00,3300,2940,2940,900,2787000
BLTZ,2022-01-11,2940.00,2940,2940,2940,200,588000
