id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
BMSR,2022-01-03,262.00,262,246,250,995600,249732800
BMSR,2021-12-30,280.00,290,262,262,1691900,454093600
BMSR,2021-12-29,300.00,312,278,280,4861300,1443922200
BMSR,2021-12-28,282.00,300,278,294,1582000,457022200
BMSR,2021-12-27,290.00,298,272,282,1002900,277184800
BMSR,2021-12-24,310.00,310,282,282,1986100,578676200
BMSR,2021-12-23,302.00,308,294,302,1637000,488664200
BMSR,2021-12-22,302.00,304,284,298,2012800,592705400
BMSR,2021-12-21,326.00,342,294,300,13186100,4165707000
BMSR,2021-12-20,338.00,340,312,316,7390900,2364566400
BMSR,2021-12-17,304.00,344,304,334,24971600,8199829600
BMSR,2021-12-16,322.00,324,298,302,5931200,1831063800
BMSR,2021-12-15,278.00,336,262,320,29911100,9274337000
BMSR,2021-12-14,252.00,274,252,274,4852100,1286466400
BMSR,2021-12-13,260.00,260,246,252,2671900,672647600
BMSR,2021-12-10,276.00,326,256,256,44855700,13378115000
BMSR,2021-12-09,242.00,290,234,274,10321800,2809582200
BMSR,2021-12-08,244.00,248,236,242,942200,227803400
BMSR,2021-12-07,244.00,246,230,238,1096400,258934400
BMSR,2021-12-06,244.00,268,234,242,1929300,471124600
BMSR,2021-12-03,262.00,262,244,246,2934800,719942800
BMSR,2021-12-02,300.00,316,262,262,32365600,9532818600
BMSR,2021-12-01,224.00,280,224,280,16250600,4335726800
BMSR,2021-11-30,218.00,236,204,224,4767400,1073447600
BMSR,2021-11-29,236.00,240,216,216,3818300,858833600
BMSR,2021-11-26,232.00,242,222,232,2058100,473808000
BMSR,2021-11-25,232.00,238,226,230,1001400,231904600
BMSR,2021-11-24,234.00,238,226,232,1384300,318675400
BMSR,2021-11-23,242.00,272,224,232,14776900,3725216000
BMSR,2021-11-22,256.00,270,240,240,5193000,1282564800
BMSR,2021-11-19,284.00,308,256,256,29272300,8335989400
BMSR,2021-11-18,222.00,274,206,274,30817100,7740228800
BMSR,2021-11-17,212.00,250,212,220,30574600,7258780400
BMSR,2021-11-16,176.00,226,176,210,24072000,4913137300
BMSR,2021-11-15,178.00,178,175,176,276900,48987800
BMSR,2021-11-12,177.00,178,174,177,328500,57656000
BMSR,2021-11-11,178.00,178,171,177,330800,58228000
BMSR,2021-11-10,177.00,180,176,178,274000,48568600
BMSR,2021-11-09,177.00,180,176,178,129000,22841400
BMSR,2021-11-08,177.00,183,175,179,645700,114386100
BMSR,2021-11-05,185.00,185,175,177,1865100,332796500
BMSR,2021-11-04,196.00,196,183,184,2316200,434514300
BMSR,2021-11-03,186.00,191,180,191,2458500,461730500
BMSR,2021-11-02,180.00,187,175,186,1121700,203035400
BMSR,2021-11-01,175.00,180,173,180,1060600,187129700
BMSR,2021-10-29,169.00,175,169,175,483200,83421100
BMSR,2021-10-28,172.00,172,169,169,201200,34130400
BMSR,2021-10-27,171.00,173,169,172,238700,40678300
BMSR,2021-10-26,170.00,173,170,171,112600,19272500
BMSR,2021-10-25,170.00,174,167,170,392200,66746600
BMSR,2021-10-22,169.00,174,169,170,546500,93779000
