id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
BNLI,2022-01-31,1450.00,1460,1430,1440,43700,63097500
BNLI,2022-01-28,1460.00,1460,1435,1435,52300,75405000
BNLI,2022-01-27,1485.00,1485,1425,1460,64400,93173000
BNLI,2022-01-26,1420.00,1500,1395,1495,213600,303995500
BNLI,2022-01-25,1430.00,1470,1405,1420,109700,155916500
BNLI,2022-01-24,1390.00,1480,1390,1430,156400,224898500
BNLI,2022-01-21,1405.00,1410,1400,1400,70100,98200000
BNLI,2022-01-20,1385.00,1405,1385,1405,40200,56088500
BNLI,2022-01-19,1380.00,1410,1350,1410,116000,160147500
BNLI,2022-01-18,1400.00,1410,1350,1360,145100,199763500
BNLI,2022-01-17,1420.00,1430,1410,1410,81400,115537000
BNLI,2022-01-14,1420.00,1435,1415,1420,33900,48352000
BNLI,2022-01-13,1470.00,1470,1410,1420,249500,354845000
BNLI,2022-01-12,1530.00,1530,1470,1470,244100,363252000
BNLI,2022-01-11,1550.00,1570,1530,1530,80000,123003500
