id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
BOLA,2022-01-31,442.00,466,430,448,7371000,3289586800
BOLA,2022-01-28,450.00,470,420,434,8179600,3587613200
BOLA,2022-01-27,446.00,458,442,448,5217800,2332282800
BOLA,2022-01-26,412.00,454,412,442,12913200,5665145200
BOLA,2022-01-25,440.00,442,412,412,19571600,8173017200
BOLA,2022-01-24,456.00,460,426,442,9097600,3981804000
BOLA,2022-01-21,470.00,480,448,458,6766700,3101689800
BOLA,2022-01-20,442.00,482,440,478,18555100,8603428400
BOLA,2022-01-19,470.00,472,440,442,13729900,6184118000
BOLA,2022-01-18,515.00,515,470,472,15596200,7455059300
BOLA,2022-01-17,525.00,550,500,505,6557400,3377388000
BOLA,2022-01-14,570.00,570,535,535,12290200,6680124000
BOLA,2022-01-13,595.00,595,560,570,4382400,2490488500
BOLA,2022-01-12,600.00,600,575,590,2242200,1318507500
BOLA,2022-01-11,595.00,605,575,585,5314800,3133831500
