id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
BOLT,2022-01-03,825.00,1030,775,815,14400,12460000
BOLT,2021-12-28,860.00,860,800,850,304700,246816000
BOLT,2021-12-22,910.00,1000,850,850,16100,14727000
BOLT,2021-12-16,1050.00,1100,980,1050,47200,49289500
BOLT,2021-12-15,845.00,1075,815,1050,42800,39848500
BOLT,2021-12-14,880.00,1100,820,860,96800,85642000
BOLT,2021-12-13,685.00,880,660,880,32500,25864000
BOLT,2021-11-26,685.00,685,685,685,10000,6850000
BOLT,2021-09-15,740,740,690,715,11100,7808000
BOLT,2021-09-07,625,670,625,670,19800,12803500
BOLT,2021-09-06,620,750,620,625,24600,15886000
BOLT,2021-08-25,615,665,605,615,47600,29733000
BOLT,2021-08-20,630,695,630,695,10800,7493000
BOLT,2021-08-16,600,630,600,630,463600,282794500
