id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
BOSS,2022-01-31,74.00,74,70,70,17545800,1250166900
BOSS,2022-01-28,76.00,76,72,73,28492900,2089775200
BOSS,2022-01-27,72.00,76,72,75,62654000,4634798700
BOSS,2022-01-26,72.00,74,70,72,19881000,1413471200
BOSS,2022-01-25,77.00,78,72,72,33759900,2493379000
BOSS,2022-01-24,70.00,76,70,74,85884500,6326240200
BOSS,2022-01-21,68.00,72,68,70,12518900,876878200
BOSS,2022-01-20,70.00,75,69,71,48044600,3463603900
BOSS,2022-01-19,70.00,72,70,70,11622000,816903900
BOSS,2022-01-18,73.00,74,69,70,30602700,2179368100
BOSS,2022-01-17,70.00,79,69,73,185015800,13863540900
BOSS,2022-01-14,68.00,71,68,70,7326300,511445300
BOSS,2022-01-13,67.00,72,67,69,9550300,664177600
BOSS,2022-01-12,69.00,73,69,70,13130800,927729300
BOSS,2022-01-11,70.00,74,70,72,30516200,2199817400
