id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
BSML,2022-01-31,470.00,498,442,494,33752100,16258896600
BSML,2022-01-28,472.00,480,470,470,5804100,2750078400
BSML,2022-01-27,460.00,476,448,472,11379500,5311978200
BSML,2022-01-26,430.00,456,426,456,18541700,8215818800
BSML,2022-01-25,430.00,450,426,430,27986700,12275893200
BSML,2022-01-24,414.00,430,404,430,27163900,11362304400
BSML,2022-01-21,400.00,416,398,412,24855400,10176537800
BSML,2022-01-20,398.00,400,386,398,10388300,4086671400
BSML,2022-01-19,390.00,404,384,396,12687300,5036782600
BSML,2022-01-18,398.00,402,380,390,10599600,4101936400
BSML,2022-01-17,418.00,418,386,392,15264900,6041722800
BSML,2022-01-14,396.00,418,374,406,52409100,21091536600
BSML,2022-01-13,356.00,394,350,392,40296400,14958622200
BSML,2022-01-12,320.00,368,318,350,50179000,17514242600
BSML,2022-01-11,320.00,366,304,316,50288900,16918553000
