id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
CANI,2022-01-31,137.00,142,135,135,1645600,228573100
CANI,2022-01-28,135.00,140,132,137,188500,25382200
CANI,2022-01-27,140.00,142,135,135,756200,104278500
CANI,2022-01-26,143.00,144,134,140,415600,57455100
CANI,2022-01-25,146.00,148,141,142,362500,52014500
CANI,2022-01-24,150.00,159,142,146,5426700,829479700
CANI,2022-01-21,144.00,151,143,145,987700,145739400
CANI,2022-01-20,148.00,148,142,144,348300,50209400
CANI,2022-01-19,156.00,163,145,146,5335900,830767300
CANI,2022-01-18,146.00,156,143,155,2193100,329703600
CANI,2022-01-17,146.00,152,144,145,987200,145712600
CANI,2022-01-14,143.00,165,142,146,5526700,854881300
CANI,2022-01-13,154.00,155,143,143,1165300,172758700
CANI,2022-01-12,151.00,174,150,153,15248700,2476193400
CANI,2022-01-11,153.00,155,148,151,967200,144673700
