id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
CASH,2022-01-31,236.00,256,230,246,8086000,2021421800
CASH,2022-01-28,228.00,236,224,234,2098600,486315800
CASH,2022-01-27,224.00,238,224,224,1248900,281809200
CASH,2022-01-26,212.00,232,204,220,2760000,618236600
CASH,2022-01-25,230.00,240,210,212,8438300,1806448800
CASH,2022-01-24,252.00,262,224,232,9483800,2242572600
CASH,2022-01-21,248.00,248,248,248,3752600,930644800
CASH,2022-01-20,212.00,226,212,226,918200,206854400
CASH,2022-01-19,189.00,206,171,206,7962600,1599391400
CASH,2022-01-18,210.00,216,189,189,6995400,1362189100
CASH,2022-01-17,220.00,224,210,210,1398900,301260000
CASH,2022-01-14,224.00,240,216,220,5983800,1373423400
CASH,2022-01-13,234.00,250,218,224,3418600,776153400
CASH,2022-01-12,244.00,252,230,234,9036700,2218999600
CASH,2022-01-11,252.00,254,242,244,699100,170927200
