id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
CINT,2021-12-30,254.00,254,240,252,150100,36544400
CINT,2021-12-28,254.00,258,250,250,70300,17604400
CINT,2021-12-27,252.00,254,250,254,353100,88317600
CINT,2021-12-24,250.00,254,250,252,45300,11327800
CINT,2021-12-22,256.00,256,250,252,20400,5131400
CINT,2021-12-21,256.00,256,250,256,17400,4392800
CINT,2021-12-20,250.00,258,250,256,20600,5184400
CINT,2021-12-17,258.00,258,250,250,31300,7826600
CINT,2021-12-16,258.00,258,250,258,88700,22680200
CINT,2021-12-15,260.00,260,250,254,21500,5451000
CINT,2021-12-13,270.00,270,268,268,29200,7867400
CINT,2021-12-10,256.00,270,254,266,171800,45664600
CINT,2021-12-09,258.00,266,256,256,1015100,265875200
CINT,2021-12-08,254.00,268,254,258,56700,14990800
CINT,2021-12-07,250.00,258,250,254,32200,8160400
CINT,2021-12-06,254.00,258,250,250,127200,31812400
CINT,2021-12-03,266.00,270,250,254,31200,7908600
CINT,2021-12-02,246.00,270,246,268,80300,20977400
CINT,2021-12-01,250.00,266,250,264,16600,4248600
CINT,2021-11-30,264.00,266,250,250,29400,7760600
CINT,2021-11-29,264.00,266,252,266,27100,7097000
CINT,2021-11-26,262.00,264,260,264,300300,78134800
CINT,2021-11-25,262.00,266,260,260,52900,13810600
CINT,2021-11-24,262.00,272,260,268,62100,16346000
CINT,2021-11-23,270.00,274,264,264,99000,26490200
CINT,2021-11-22,272.00,272,270,270,14300,3865800
CINT,2021-11-19,278.00,278,270,270,169700,46186400
CINT,2021-11-18,280.00,280,274,278,132200,36641800
CINT,2021-11-17,276.00,280,272,276,191900,52874400
CINT,2021-11-16,274.00,276,270,276,398200,108320200
CINT,2021-11-15,272.00,280,270,274,246000,66962400
CINT,2021-11-12,280.00,306,264,270,5357400,1538136000
CINT,2021-11-11,282.00,282,276,280,240900,67569600
CINT,2021-11-10,274.00,282,270,282,167600,46496600
CINT,2021-11-09,278.00,280,264,274,349900,94598200
CINT,2021-11-08,290.00,292,272,274,854100,237176600
CINT,2021-11-05,302.00,304,288,288,367600,107143400
CINT,2021-11-04,296.00,304,276,304,613600,181051200
CINT,2021-11-03,312.00,318,288,290,1500500,443454400
CINT,2021-11-02,304.00,370,300,308,37963300,13205521200
CINT,2021-11-01,282.00,320,264,300,2796100,836519600
CINT,2021-10-29,276.00,284,276,282,175300,49017800
CINT,2021-10-28,294.00,294,276,276,215000,60146600
CINT,2021-10-27,304.00,336,286,292,3505900,1124872800
CINT,2021-10-26,306.00,316,300,302,1209400,370186200
CINT,2021-10-25,294.00,306,274,306,1833500,544322200
CINT,2021-10-22,302.00,354,290,294,9470300,3090077400
CINT,2021-10-21,232.00,290,230,290,2130600,576308800
CINT,2021-10-19,226.00,240,218,232,171600,38015000
CINT,2021-10-18,242.00,244,228,228,351400,81282800
CINT,2021-10-15,254,306,238,242,8898200,2549167000
CINT,2021-10-14,220,272,220,254,6905100,1760525000
CINT,2021-10-13,218,220,216,220,105000,22806200
CINT,2021-10-12,212,216,212,216,271600,57780600
CINT,2021-10-11,224,224,210,210,456200,96111000
CINT,2021-10-08,242,276,224,224,6745800,1770448000
CINT,2021-10-07,214,240,210,240,964500,213360600
CINT,2021-10-06,240,250,224,224,288600,66128400
CINT,2021-10-05,189,240,182,240,434200,94127700
CINT,2021-09-28,187,191,187,191,27600,5179900
CINT,2021-09-24,189,190,185,190,17800,3342000
CINT,2021-09-22,191,191,186,190,11300,2130700
CINT,2021-09-21,185,195,181,191,138400,26395900
CINT,2021-09-20,187,187,185,185,41500,7679100
CINT,2021-09-16,185,187,183,187,10000,1846900
CINT,2021-09-15,187,188,185,185,31500,5872400
CINT,2021-09-07,185,202,181,185,10500,1962400
CINT,2021-09-06,186,192,183,185,17000,3146700
CINT,2021-09-03,186,188,184,186,21500,4002000
CINT,2021-09-02,190,196,181,188,19600,3652100
CINT,2021-08-26,186,191,186,191,12900,2439600
CINT,2021-08-19,192,199,185,196,36700,6959600
CINT,2021-08-18,192,192,184,192,36400,6883400
CINT,2021-08-12,191,191,185,190,45300,8509000
