id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
CITY,2022-01-31,143.00,148,141,145,71000,10024600
CITY,2022-01-28,147.00,149,144,146,6700,978300
CITY,2022-01-27,148.00,148,144,144,3000,440600
CITY,2022-01-26,151.00,154,143,147,44300,6515300
CITY,2022-01-25,143.00,155,142,150,39000,5910300
CITY,2022-01-24,146.00,146,140,144,32600,4618700
CITY,2022-01-21,145.00,151,145,146,57200,8503700
CITY,2022-01-20,150.00,156,145,145,181700,26563000
CITY,2022-01-19,147.00,155,142,154,48800,7120700
CITY,2022-01-18,150.00,154,146,152,40800,6068900
CITY,2022-01-17,161.00,181,150,150,2108800,349112000
CITY,2022-01-14,161.00,170,149,161,177700,28015300
CITY,2022-01-13,163.00,166,153,157,178500,28131900
CITY,2022-01-12,176.00,181,162,163,2167400,371415900
CITY,2022-01-11,170.00,188,160,174,4648700,820275500
