id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
CNTX,2022-01-03,296.00,298,294,294,76500,22504200
CNTX,2021-12-27,324.00,324,304,318,17500,5543800
CNTX,2021-12-24,310.00,324,298,324,126100,39186200
CNTX,2021-12-23,306.00,320,306,310,22800,7071200
CNTX,2021-12-22,324.00,326,312,312,56900,18116000
CNTX,2021-12-21,330.00,334,324,326,70700,23337800
CNTX,2021-12-20,340.00,340,328,330,105100,34789600
CNTX,2021-12-17,328.00,340,318,340,238300,79134800
CNTX,2021-12-16,310.00,360,294,326,1071000,361950600
CNTX,2021-12-15,326.00,334,306,308,22500,7194600
CNTX,2021-12-14,322.00,344,304,316,74300,24220400
CNTX,2021-12-13,346.00,346,322,322,91200,30025200
CNTX,2021-12-10,336.00,354,318,344,247300,83697400
CNTX,2021-12-09,360.00,360,336,336,399600,135050800
CNTX,2021-12-07,304.00,376,286,360,3075700,1063185400
CNTX,2021-12-06,290.00,302,270,302,625300,184389800
CNTX,2021-12-03,284.00,310,282,290,681800,202727000
CNTX,2021-12-02,290.00,302,284,284,1119600,325956000
CNTX,2021-12-01,330.00,330,304,304,2989100,935444000
CNTX,2021-11-30,270.00,326,244,326,8497100,2463230800
CNTX,2021-11-29,220.00,262,200,262,2383600,602838400
CNTX,2021-11-26,210.00,222,210,210,106600,23635800
CNTX,2021-11-24,230.00,230,210,210,100600,21337200
CNTX,2021-11-23,228.00,232,220,222,59300,13520600
CNTX,2021-11-22,240.00,248,224,232,673800,153811000
CNTX,2021-11-19,256.00,264,240,240,43800,10784400
CNTX,2021-11-18,246.00,256,230,256,208300,48993600
CNTX,2021-11-17,264.00,280,246,246,129300,33206400
CNTX,2021-11-16,278.00,304,256,264,2720900,758875000
CNTX,2021-11-15,191.00,256,191,256,840800,212917900
CNTX,2021-11-12,187.00,202,187,190,498800,97143800
CNTX,2021-11-11,195.00,195,187,188,20000,3770000
CNTX,2021-11-10,192.00,199,187,192,49900,9533700
CNTX,2021-11-09,218.00,240,184,192,471600,98848700
CNTX,2021-11-05,183.00,190,183,186,172900,32188800
CNTX,2021-11-01,184.00,200,181,185,20400,3824600
CNTX,2021-10-28,186.00,187,178,178,17100,3124300
CNTX,2021-10-27,181.00,189,171,186,10900,1937400
CNTX,2021-10-21,178.00,186,178,186,107800,19721600
CNTX,2021-10-14,181,181,176,176,10100,1778100
CNTX,2021-10-11,181,186,178,184,35900,6472900
CNTX,2021-10-07,183,189,173,181,88200,15908300
CNTX,2021-09-29,182,182,180,182,25800,4667700
CNTX,2021-09-22,180,183,180,183,16000,2926500
CNTX,2021-09-21,178,189,178,182,32400,5928900
CNTX,2021-09-14,178,178,176,176,10000,1762800
CNTX,2021-09-09,181,199,171,187,167900,30673100
CNTX,2021-09-07,183,186,173,182,60800,10681200
CNTX,2021-09-02,190,190,180,181,176900,33083800
CNTX,2021-09-01,185,188,178,188,20200,3610900
CNTX,2021-08-30,186,194,177,177,40800,7760900
CNTX,2021-08-27,184,197,171,173,501100,87559900
CNTX,2021-08-26,186,186,182,183,37800,6904700
