id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
DCII,2022-01-31,44850.00,44850,43850,43850,1000,44360000
DCII,2022-01-28,43050.00,44850,43050,44850,7600,337490000
DCII,2022-01-27,43050.00,43050,42775,42800,1200,51427500
DCII,2022-01-26,43000.00,43050,43000,43050,2900,124775000
DCII,2022-01-25,43800.00,43800,43000,43000,500,21737500
DCII,2022-01-24,44025.00,44025,43800,43800,3500,153922500
DCII,2022-01-21,44500.00,44500,43800,44025,1800,79385000
DCII,2022-01-20,43800.00,46000,42775,44500,17200,759532500
DCII,2022-01-19,43800.00,45000,43800,43800,5100,225980000
DCII,2022-01-18,43600.00,45700,42250,43800,22100,973247500
DCII,2022-01-17,45200.00,48025,43600,43600,18100,839442500
DCII,2022-01-14,40250.00,45000,39900,45000,24100,1000827500
DCII,2022-01-13,41000.00,41000,40425,40425,3300,134482500
DCII,2022-01-12,41975.00,41975,41025,41025,4700,194855000
DCII,2022-01-11,45000.00,45000,41850,41975,10200,433060000
