id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
DEPO,2022-01-03,488.00,490,482,486,6142000,2993454800
DEPO,2021-12-30,488.00,490,484,488,7136000,3481793200
DEPO,2021-12-29,492.00,494,486,488,5630300,2762512600
DEPO,2021-12-28,486.00,496,482,492,7205300,3542585600
DEPO,2021-12-27,488.00,488,484,486,4904200,2383386400
DEPO,2021-12-24,490.00,496,484,486,6713400,3308150200
DEPO,2021-12-23,488.00,492,486,488,6179500,3027221400
DEPO,2021-12-22,490.00,490,482,488,5852400,2844524200
DEPO,2021-12-21,494.00,496,480,490,8767600,4282159200
DEPO,2021-12-20,510.00,510,492,496,5164200,2576871400
DEPO,2021-12-17,520.00,520,500,510,5576800,2831328500
DEPO,2021-12-16,525.00,535,500,520,7646300,4008477000
DEPO,2021-12-15,530.00,535,520,530,5762700,3046617000
DEPO,2021-12-14,530.00,530,515,530,8079900,4250935000
DEPO,2021-12-13,530.00,535,520,530,5567100,2938515500
DEPO,2021-12-10,525.00,535,520,530,5884500,3112184500
DEPO,2021-12-09,520.00,535,510,525,8189800,4328190000
DEPO,2021-12-08,535.00,535,500,520,11411200,5925977500
DEPO,2021-12-07,560.00,565,525,525,13743600,7340542000
DEPO,2021-12-06,565.00,585,535,560,16572600,9284460000
DEPO,2021-12-03,610.00,625,570,570,25123600,14462440000
DEPO,2021-12-02,620.00,630,605,610,21041800,12884646500
DEPO,2021-12-01,645.00,645,595,610,24329600,14941083000
DEPO,2021-11-30,590.00,665,585,615,49875100,30804897000
DEPO,2021-11-29,620.00,620,580,590,38802600,23036470000
DEPO,2021-11-26,560.00,745,600,620,214715900,145529945500
DEPO,2021-11-25,560.00,600,470,600,279806200,154905829400
