id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
DFAM,2022-01-03,380.00,382,370,372,32800,12515000
DFAM,2021-12-30,396.00,396,372,384,32100,12108000
DFAM,2021-12-29,374.00,378,368,370,24000,8951800
DFAM,2021-12-28,374.00,380,372,374,22100,8236400
DFAM,2021-12-27,376.00,376,370,372,15800,5887600
DFAM,2021-12-24,374.00,376,370,376,11300,4232000
DFAM,2021-12-22,384.00,394,370,374,65100,24635400
DFAM,2021-12-21,376.00,406,370,390,29300,11262400
DFAM,2021-12-20,376.00,378,376,378,16100,6074600
DFAM,2021-12-17,368.00,378,368,378,85500,32299800
DFAM,2021-12-16,406.00,408,374,380,169900,65425800
DFAM,2021-12-15,370.00,428,370,402,618600,244712800
DFAM,2021-12-14,374.00,374,370,370,25000,9251400
DFAM,2021-12-13,376.00,376,368,374,105800,39260800
DFAM,2021-12-10,378.00,378,366,374,54300,20379800
DFAM,2021-12-09,368.00,382,362,378,55000,20811000
DFAM,2021-12-08,368.00,380,366,366,34700,12747000
DFAM,2021-12-07,370.00,378,366,366,180700,66148000
DFAM,2021-12-03,376.00,380,364,380,45900,16827600
DFAM,2021-12-01,380.00,382,376,376,94700,35806200
DFAM,2021-11-30,382.00,398,382,382,37000,14194600
DFAM,2021-11-29,382.00,394,382,382,131200,50635000
DFAM,2021-11-26,386.00,390,382,382,63700,24420200
DFAM,2021-11-25,386.00,396,384,390,496800,193807200
DFAM,2021-11-24,386.00,392,366,382,938600,361984600
DFAM,2021-11-23,384.00,388,366,380,29700,11140800
DFAM,2021-11-22,386.00,388,370,380,22100,8281200
DFAM,2021-11-19,360.00,396,356,386,333900,123091000
DFAM,2021-11-18,362.00,362,356,360,193200,69358600
DFAM,2021-11-17,362.00,368,358,360,176600,63733800
DFAM,2021-11-16,376.00,376,366,366,51500,18988200
DFAM,2021-11-12,386.00,394,374,386,47000,17935800
DFAM,2021-11-11,376.00,390,354,386,857900,323289600
DFAM,2021-11-10,362.00,376,360,376,103100,37857000
DFAM,2021-11-09,366.00,368,360,364,188000,68454600
DFAM,2021-11-05,368.00,370,360,368,18400,6770400
DFAM,2021-11-04,374.00,374,360,370,399300,146111400
DFAM,2021-11-03,368.00,376,360,374,20800,7642600
DFAM,2021-11-02,368.00,384,366,368,27300,10032200
DFAM,2021-11-01,368.00,370,368,368,46800,17238800
DFAM,2021-10-29,372.00,372,364,368,108500,39773200
DFAM,2021-10-28,368.00,380,368,372,74800,27811400
DFAM,2021-10-27,376.00,398,376,382,53500,20495400
DFAM,2021-10-26,394.00,408,370,370,443100,167159000
DFAM,2021-10-25,388.00,408,368,394,481900,186314000
DFAM,2021-10-22,408.00,408,386,388,132000,51790400
DFAM,2021-10-21,416.00,422,384,408,2079800,836544200
DFAM,2021-10-19,376.00,424,370,410,8079600,3192405800
DFAM,2021-10-18,372.00,378,370,376,130900,49194800
DFAM,2021-10-15,350,376,350,372,170200,62981200
DFAM,2021-10-14,366,368,342,366,256000,92348400
DFAM,2021-10-13,372,378,358,366,1481400,541692800
DFAM,2021-10-12,390,390,372,374,319300,119723200
DFAM,2021-10-11,376,392,370,390,1893800,712907800
DFAM,2021-10-08,368,402,368,374,2076100,789950400
DFAM,2021-10-07,372,384,370,370,1106900,409730800
DFAM,2021-10-06,382,386,362,372,283800,105671200
DFAM,2021-10-05,390,390,374,374,160700,60888800
DFAM,2021-10-04,388,392,382,390,135000,52021600
DFAM,2021-10-01,370,390,366,388,3361400,1261089600
DFAM,2021-09-30,376,376,370,370,426800,158243000
DFAM,2021-09-29,390,396,376,376,4989800,1935430200
DFAM,2021-09-28,382,390,380,390,884000,340399600
DFAM,2021-09-27,384,390,370,384,1307300,499438400
DFAM,2021-09-24,376,394,376,384,2525100,972547800
DFAM,2021-09-23,364,388,364,376,2026600,763875800
DFAM,2021-09-22,368,428,362,364,8034800,3163314000
DFAM,2021-09-21,366,368,350,368,442100,160676200
DFAM,2021-09-20,364,372,360,366,449900,165124600
DFAM,2021-09-17,366,372,364,364,546200,199887800
DFAM,2021-09-16,374,430,362,366,14104600,5377949800
DFAM,2021-09-15,378,384,366,372,1429500,532979200
DFAM,2021-09-14,360,380,354,376,3141200,1178039400
DFAM,2021-09-13,354,362,340,360,2739500,952544400
DFAM,2021-09-10,350,368,328,354,7727500,2612674200
DFAM,2021-09-09,378,378,352,352,10951700,3910269800
DFAM,2021-09-08,368,400,364,378,10446000,3908203000
DFAM,2021-09-07,394,432,368,368,11972800,4798090600
DFAM,2021-09-06,402,404,390,392,1534000,606828600
DFAM,2021-09-03,378,410,378,400,7788800,3062624800
DFAM,2021-09-01,320,400,302,400,28355900,9928274000
DFAM,2021-08-31,298,330,278,320,29688900,8929083800
DFAM,2021-08-30,298,306,274,298,15294500,4342192000
DFAM,2021-08-27,314,330,294,294,9779400,2957153400
DFAM,2021-08-26,256,316,244,316,26565400,7703618200
DFAM,2021-08-25,196,254,185,254,25048200,5145088200
DFAM,2021-08-24,168,190,167,190,4432300,791296300
DFAM,2021-08-23,172,182,151,167,7751300,1306080800
DFAM,2021-08-20,120,162,119,162,14680800,2243420000
DFAM,2021-08-19,121,123,113,120,6264000,762580900
DFAM,2021-08-18,121,167,117,121,25289600,3454183800
DFAM,2021-08-16,126,126,113,124,294000,34028700
DFAM,2021-08-13,134,134,121,121,1069200,129842900
DFAM,2021-08-12,135,135,122,130,69200,8837200
