id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
DIGI,2022-01-03,103.00,110,103,109,13323300,1435281700
DIGI,2021-12-30,103.00,108,101,103,9811100,1019315000
DIGI,2021-12-29,108.00,110,102,103,12347000,1292639200
DIGI,2021-12-28,102.00,123,101,108,87586700,10075849200
DIGI,2021-12-27,110.00,110,102,102,13770000,1419636500
DIGI,2021-12-24,115.00,115,109,109,19624100,2161612100
DIGI,2021-12-23,116.00,119,115,117,5127300,598839600
DIGI,2021-12-22,119.00,121,116,116,8464000,999486800
DIGI,2021-12-21,120.00,124,118,119,9992700,1205800800
DIGI,2021-12-20,118.00,128,117,120,48455100,5939520200
DIGI,2021-12-17,118.00,121,115,118,9815800,1163291800
DIGI,2021-12-16,119.00,123,116,117,11848300,1413874800
DIGI,2021-12-15,119.00,128,118,119,22773800,2798209600
DIGI,2021-12-14,121.00,124,118,119,4152000,497544500
DIGI,2021-12-13,122.00,125,121,122,6477100,797551300
DIGI,2021-12-10,125.00,138,121,122,64047500,8277843800
DIGI,2021-12-09,115.00,128,115,124,27737100,3404616100
DIGI,2021-12-08,120.00,122,114,115,12035200,1402423500
DIGI,2021-12-07,114.00,138,114,120,63433900,7906379800
DIGI,2021-12-06,118.00,125,114,114,17952200,2111930000
DIGI,2021-12-03,119.00,140,119,120,57605500,7258210200
DIGI,2021-12-02,127.00,127,127,127,3652400,463854800
DIGI,2021-12-01,136.00,136,136,136,1364000,185504000
DIGI,2021-11-30,150.00,150,146,146,7946700,1160238200
DIGI,2021-11-29,158.00,158,156,156,14063300,2193875200
DIGI,2021-11-26,193.00,179,167,167,20898900,3507822600
DIGI,2021-11-25,193.00,194,178,179,21576900,3994342300
DIGI,2021-11-24,198.00,202,191,191,16591800,3249918700
DIGI,2021-11-23,200.00,202,191,197,18084600,3544869800
DIGI,2021-11-22,218.00,222,200,200,59461900,12603463600
DIGI,2021-11-19,200.00,214,196,210,42742200,8768317000
DIGI,2021-11-18,200.00,216,192,199,33717200,6846833100
DIGI,2021-11-17,186.00,204,186,198,73383900,14266131300
DIGI,2021-11-16,200.00,206,200,200,22714000,4554276800
DIGI,2021-11-15,214.00,214,214,214,5761200,1232896800
DIGI,2021-11-12,230.00,244,230,230,14094400,3246493000
DIGI,2021-11-11,246.00,250,246,246,52947400,13029182000
DIGI,2021-11-10,282.00,284,264,264,41875800,11117074600
DIGI,2021-11-09,304.00,308,282,282,117522800,33733014400
DIGI,2021-11-08,302.00,314,282,302,65495400,18944024600
DIGI,2021-11-05,270.00,328,256,302,134598100,40710874200
DIGI,2021-11-04,278.00,284,260,270,39570300,10444855000
DIGI,2021-11-03,290.00,300,268,278,68508100,19069638800
DIGI,2021-11-02,296.00,298,278,288,12259700,3443642800
DIGI,2021-11-01,320.00,320,298,298,26056600,7810897200
DIGI,2021-10-29,320.00,320,320,320,23622300,7559136000
DIGI,2021-10-28,366.00,368,342,342,30097600,10323082000
DIGI,2021-10-27,346.00,370,332,366,30462600,10260356600
DIGI,2021-10-26,382.00,382,356,356,32606600,11957133400
DIGI,2021-10-25,412.00,414,382,382,36036700,13802537400
DIGI,2021-10-22,404.00,420,390,410,21758500,8798145200
DIGI,2021-10-21,432.00,432,404,404,12101000,4912371600
DIGI,2021-10-19,464.00,468,434,434,34100500,15042192000
DIGI,2021-10-18,500.00,500,466,466,16042000,7522293000
DIGI,2021-10-15,510,515,480,500,36909900,18108723400
DIGI,2021-10-14,530,540,515,515,4846900,2498534000
DIGI,2021-10-13,570,590,550,550,11370400,6456927500
DIGI,2021-10-12,630,640,590,590,5809200,3578386000
DIGI,2021-10-11,570,645,570,630,25382100,15427035500
DIGI,2021-10-08,590,590,565,570,2675600,1547805500
DIGI,2021-10-07,550,600,550,585,20114100,11591116500
DIGI,2021-10-06,535,595,535,550,10098900,5723733500
DIGI,2021-10-05,530,540,515,535,15555400,8215568000
DIGI,2021-10-04,535,540,525,525,3057000,1629229500
DIGI,2021-10-01,520,535,515,535,14675300,7652795500
DIGI,2021-09-30,515,535,515,520,2686200,1406844500
DIGI,2021-09-29,498,560,498,515,17530300,8894265500
DIGI,2021-09-28,515,525,498,498,2421200,1231933700
DIGI,2021-09-27,520,520,510,515,8023900,4131584500
DIGI,2021-09-24,530,540,515,515,2774600,1460278000
DIGI,2021-09-23,525,535,525,530,8856200,4694176500
DIGI,2021-09-22,525,535,515,525,2261400,1188407500
DIGI,2021-09-21,515,525,490,525,1613200,821175300
DIGI,2021-09-20,530,540,520,520,15556100,8245657000
DIGI,2021-09-17,535,535,520,530,3191900,1692652000
DIGI,2021-09-16,540,545,530,530,15863900,8561380000
DIGI,2021-09-15,535,540,525,535,3743100,1991436500
DIGI,2021-09-14,525,540,525,530,16341100,8663519000
DIGI,2021-09-13,525,530,505,525,2054600,1064404000
DIGI,2021-09-10,530,550,515,525,16457400,8731190500
DIGI,2021-09-09,520,530,490,530,1879200,956406000
DIGI,2021-09-08,540,550,515,520,14545400,7904758000
DIGI,2021-09-07,535,570,505,540,3141300,1710157500
DIGI,2021-09-06,560,585,530,535,16523600,9278577500
DIGI,2021-09-03,580,580,540,565,3012800,1650601000
DIGI,2021-09-02,605,640,580,580,16877400,10147236500
DIGI,2021-09-01,640,640,600,620,2009300,1213490000
DIGI,2021-08-31,650,680,595,640,22028500,14359328500
DIGI,2021-08-30,585,660,575,635,8875100,5588926500
DIGI,2021-08-27,600,625,585,585,14550700,8527264500
DIGI,2021-08-26,630,725,625,625,11553400,7664940000
DIGI,2021-08-25,670,685,670,670,4734100,3180580500
DIGI,2021-08-24,720,720,720,720,826900,595368000
DIGI,2021-08-23,770,770,770,770,536000,412720000
DIGI,2021-08-20,825,825,825,825,2009800,1658085000
DIGI,2021-08-19,1000,1185,885,885,2125700,2435537000
DIGI,2021-08-18,810,955,810,950,1190000,1129718000
DIGI,2021-08-16,690,765,690,765,103900,79336000
DIGI,2021-08-13,505,615,494,615,222400,133103800
DIGI,2021-08-12,394,492,394,492,187700,84583000
