id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
DNET,2021-12-14,3240.00,3260,3230,3260,13200,42653000
DNET,2021-12-08,3240.00,3290,3240,3240,17200,55850000
DNET,2021-12-06,3300.00,3300,3170,3240,37500,119951000
DNET,2021-12-02,3330.00,3370,3260,3340,81800,268112000
DNET,2021-12-01,3370.00,3380,3260,3330,12400,40950000
DNET,2021-11-30,3330.00,3460,3270,3370,15300,51642000
DNET,2021-11-25,3300.00,3800,3260,3340,51800,172634000
DNET,2021-11-24,3290.00,3300,3250,3300,20900,68777000
DNET,2021-11-23,3250.00,3290,3250,3290,16100,52937000
DNET,2021-11-18,3190.00,3270,3190,3270,17500,56724000
DNET,2021-11-16,3300.00,3300,3230,3290,22100,72401000
DNET,2021-11-15,3270.00,3310,3260,3280,39300,129303000
DNET,2021-11-12,3230.00,3270,3210,3270,11200,36490000
DNET,2021-11-09,3220.00,3250,3180,3250,11800,38277000
DNET,2021-11-08,3230.00,3230,3200,3220,23900,76516000
DNET,2021-10-29,3260.00,3280,3190,3260,46000,149393000
DNET,2021-10-28,3220.00,3260,3190,3260,17800,57198000
DNET,2021-10-26,3250.00,3250,3190,3250,12500,40057000
DNET,2021-10-15,3230,3250,3230,3250,30100,97295000
DNET,2021-10-12,3170,3260,3170,3260,30900,100622000
DNET,2021-10-08,3250,3260,3250,3260,11400,37153000
DNET,2021-10-07,3250,3260,3210,3260,12900,41908000
DNET,2021-10-06,3260,3270,3250,3270,52200,170355000
DNET,2021-10-05,3250,3260,3220,3260,24000,78026000
DNET,2021-10-04,3200,3250,3170,3250,78300,254235000
DNET,2021-10-01,3160,3200,3150,3200,34100,108957000
DNET,2021-09-29,3170,3170,3140,3170,10400,32891000
DNET,2021-09-27,3180,3180,3140,3170,22400,70535000
DNET,2021-09-21,3190,3220,3190,3200,11600,37123000
DNET,2021-09-20,3190,3190,3170,3190,13900,44185000
DNET,2021-09-17,3180,3190,3160,3190,11800,37523000
DNET,2021-09-15,3180,3190,3150,3190,16400,51976000
DNET,2021-09-14,3180,3200,3160,3180,14900,47540000
DNET,2021-09-13,3200,3200,3150,3170,23400,74157000
DNET,2021-09-10,3180,3230,3160,3200,57000,181383000
DNET,2021-09-09,3180,3180,3150,3180,30000,94994000
DNET,2021-09-08,3240,3240,3150,3180,43900,138922000
DNET,2021-09-06,3250,3260,3220,3240,10900,35378000
DNET,2021-09-03,3230,3270,3210,3250,43300,140352000
DNET,2021-09-02,3180,3230,3170,3230,12300,39263000
DNET,2021-09-01,3200,3240,3190,3190,60300,193606000
DNET,2021-08-31,3220,3220,3170,3180,23800,75845000
DNET,2021-08-30,3200,3240,3190,3220,12300,39467000
DNET,2021-08-27,3260,3260,3120,3200,49400,156484000
DNET,2021-08-23,3270,3270,3180,3250,82400,266614000
DNET,2021-08-20,3300,3300,3150,3290,68000,220354000
DNET,2021-08-19,3200,3300,3200,3300,116200,381943000
DNET,2021-08-18,3280,3300,3190,3200,25500,82470000
DNET,2021-08-13,3200,3300,3190,3270,38900,126413000
DNET,2021-08-12,3290,3300,3200,3200,42100,136591000
