id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
DPNS,2022-01-03,396.00,400,394,400,57400,22727400
DPNS,2021-12-30,400.00,404,394,394,223900,89067800
DPNS,2021-12-29,406.00,408,396,400,202800,81971000
DPNS,2021-12-28,404.00,414,400,404,255000,103519200
DPNS,2021-12-27,400.00,408,396,404,105300,42121600
DPNS,2021-12-24,408.00,408,400,400,78100,31374400
DPNS,2021-12-23,402.00,408,400,400,87900,35508200
DPNS,2021-12-22,396.00,402,390,400,60700,24220400
DPNS,2021-12-21,402.00,406,392,394,116600,46730800
DPNS,2021-12-20,392.00,408,392,402,287400,114720400
DPNS,2021-12-17,400.00,400,390,398,117300,46374400
DPNS,2021-12-16,394.00,422,394,400,250200,101871200
DPNS,2021-12-15,392.00,398,388,390,113800,44683600
DPNS,2021-12-14,404.00,410,404,406,158600,64720800
DPNS,2021-12-13,400.00,408,390,408,190800,77142200
DPNS,2021-12-10,402.00,408,400,402,36200,14587800
DPNS,2021-12-09,420.00,430,400,408,134400,55493600
DPNS,2021-12-08,400.00,420,396,420,342000,141702000
DPNS,2021-12-03,396.00,400,390,394,80700,31961600
DPNS,2021-12-02,400.00,412,390,396,221700,89154200
DPNS,2021-12-01,394.00,412,394,400,133600,54144000
DPNS,2021-11-30,390.00,396,388,394,75400,29651400
DPNS,2021-11-29,388.00,388,376,388,86400,33050400
DPNS,2021-11-26,400.00,398,388,388,90100,35125800
DPNS,2021-11-25,400.00,400,380,400,327800,127975600
DPNS,2021-11-24,428.00,428,400,400,540700,219679000
DPNS,2021-11-23,432.00,432,426,428,110300,47190000
DPNS,2021-11-22,422.00,434,422,432,605200,260909200
DPNS,2021-11-19,408.00,448,406,422,336100,141082600
DPNS,2021-11-18,402.00,408,398,406,380500,153956000
DPNS,2021-11-17,414.00,414,396,402,453200,182660400
DPNS,2021-11-16,398.00,420,394,414,330500,133947800
DPNS,2021-11-15,400.00,408,390,392,307000,121605800
DPNS,2021-11-12,376.00,420,374,400,357800,141966000
DPNS,2021-11-11,376.00,380,372,374,49400,18535800
DPNS,2021-11-10,376.00,376,372,376,42300,15880800
DPNS,2021-11-09,380.00,380,374,376,151300,56847200
DPNS,2021-11-08,376.00,376,374,376,80500,30251000
DPNS,2021-11-05,376.00,376,372,376,57900,21685400
DPNS,2021-11-04,368.00,390,368,376,236100,89541000
DPNS,2021-11-03,370.00,370,364,366,121100,44175400
DPNS,2021-11-02,356.00,364,354,354,27200,9673000
DPNS,2021-11-01,360.00,376,354,354,87300,31406000
DPNS,2021-10-29,358.00,378,350,350,134800,48141000
DPNS,2021-10-28,390.00,390,362,362,244800,89522000
DPNS,2021-10-27,366.00,388,366,388,157200,59369600
DPNS,2021-10-26,364.00,376,362,368,463500,171226200
DPNS,2021-10-25,360.00,370,360,364,96200,34848200
DPNS,2021-10-22,362.00,362,340,360,68500,24625600
DPNS,2021-10-21,360.00,374,360,362,139200,50757000
DPNS,2021-10-19,356.00,360,356,360,89700,32192800
DPNS,2021-10-18,358.00,362,354,358,59700,21356000
DPNS,2021-10-15,356,378,350,358,507100,183928600
DPNS,2021-10-14,342,354,342,354,78900,27605000
DPNS,2021-10-13,354,356,342,342,105400,36581400
DPNS,2021-10-12,350,358,350,350,91200,32179600
DPNS,2021-10-11,358,358,350,350,675300,239186200
DPNS,2021-10-08,358,370,354,356,224100,79994200
DPNS,2021-10-07,358,366,354,358,276800,99070800
DPNS,2021-10-06,356,360,352,358,778300,276980000
DPNS,2021-10-05,354,358,354,354,298700,105993000
DPNS,2021-10-04,354,378,350,354,4050000,1479815600
DPNS,2021-10-01,358,360,350,354,190300,66771400
DPNS,2021-09-30,356,358,352,358,180300,63925400
DPNS,2021-09-29,354,360,354,356,43000,15272200
DPNS,2021-09-28,352,362,352,354,265100,95618200
DPNS,2021-09-27,346,352,340,352,332900,115211200
DPNS,2021-09-24,350,360,346,346,98400,34163200
DPNS,2021-09-23,348,352,348,348,97200,33878000
DPNS,2021-09-22,360,360,346,348,23800,8342800
DPNS,2021-09-21,350,358,350,358,50400,17753400
DPNS,2021-09-20,360,370,350,350,74000,26624000
DPNS,2021-09-17,354,364,354,356,195900,70298200
DPNS,2021-09-16,344,380,344,354,256000,91620000
DPNS,2021-09-15,342,344,342,344,48800,16700800
DPNS,2021-09-14,338,342,338,340,36100,12244600
DPNS,2021-09-13,340,350,338,338,22000,7594600
DPNS,2021-09-10,336,340,330,340,14600,4833200
DPNS,2021-09-09,338,338,318,336,71800,23682000
DPNS,2021-09-08,338,340,336,338,116600,39419000
DPNS,2021-09-07,338,340,332,338,79300,26709000
DPNS,2021-09-06,336,340,336,338,137000,46125200
DPNS,2021-09-03,344,354,336,336,164800,56033600
DPNS,2021-09-02,342,356,334,356,21000,7235000
DPNS,2021-09-01,342,354,326,342,740400,242452400
DPNS,2021-08-31,354,362,336,350,162000,56219200
DPNS,2021-08-30,360,360,340,356,65600,23120200
DPNS,2021-08-27,358,384,334,350,741400,248542400
DPNS,2021-08-26,350,370,340,358,195500,69900200
DPNS,2021-08-25,346,358,346,350,57600,20079400
DPNS,2021-08-24,338,348,338,346,35000,12019800
DPNS,2021-08-23,342,350,324,338,107300,36318800
DPNS,2021-08-20,342,362,342,346,104500,36958400
DPNS,2021-08-19,362,362,338,358,130200,44968400
DPNS,2021-08-18,388,398,362,362,539700,203896600
DPNS,2021-08-16,396,434,376,388,3863700,1561518400
DPNS,2021-08-13,308,376,308,376,3336300,1191247400
