id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
DSNG,2022-01-03,500.00,510,494,496,33040300,16492742000
DSNG,2021-12-30,488.00,510,486,500,27660000,13641193400
DSNG,2021-12-29,505.00,510,486,488,17932300,8941980300
DSNG,2021-12-28,505.00,510,494,500,15651600,7834275100
DSNG,2021-12-27,476.00,500,474,500,25354000,12437166600
DSNG,2021-12-24,474.00,478,470,474,28435100,13503065800
DSNG,2021-12-23,476.00,480,470,474,26046000,12346978000
DSNG,2021-12-22,472.00,480,472,474,19752500,9390489800
DSNG,2021-12-21,472.00,480,470,470,25466000,12068411200
DSNG,2021-12-20,484.00,486,470,472,11387200,5417101000
DSNG,2021-12-17,470.00,490,470,482,60648100,28839168400
DSNG,2021-12-16,478.00,480,468,470,11960000,5664033000
DSNG,2021-12-15,480.00,486,478,478,19891200,9585265600
DSNG,2021-12-14,490.00,490,480,480,12860200,6236149000
DSNG,2021-12-13,480.00,494,480,486,26687200,13074269000
DSNG,2021-12-10,500.00,510,476,480,42547300,20818022800
DSNG,2021-12-09,515.00,515,500,505,25976300,13163135500
DSNG,2021-12-08,520.00,525,505,510,10128900,5213069000
DSNG,2021-12-07,500.00,525,500,520,20328100,10465103500
DSNG,2021-12-06,510.00,530,498,500,59658300,30541619500
DSNG,2021-12-03,525.00,530,505,510,12215700,6261946000
DSNG,2021-12-02,515.00,530,500,525,40017700,20470683000
DSNG,2021-12-01,530.00,535,505,515,23672200,12255657000
DSNG,2021-11-30,550.00,555,525,530,26116800,14044702000
DSNG,2021-11-29,580.00,580,545,550,22893000,12711563000
DSNG,2021-11-26,590.00,605,570,580,31274800,18382836500
DSNG,2021-11-25,590.00,605,585,600,38819400,23019048000
DSNG,2021-11-24,585.00,595,580,590,27974700,16430250500
DSNG,2021-11-23,590.00,595,585,585,31676600,18664577000
DSNG,2021-11-22,585.00,595,575,590,26396400,15416712000
DSNG,2021-11-19,595.00,600,575,585,33908300,19893312500
DSNG,2021-11-18,580.00,595,575,595,26775000,15628491500
DSNG,2021-11-17,585.00,590,570,580,27415200,15844465000
DSNG,2021-11-16,575.00,595,570,585,38998400,22650817000
DSNG,2021-11-15,580.00,585,570,575,31466200,18236234000
DSNG,2021-11-12,580.00,595,575,580,34564200,20121828500
DSNG,2021-11-11,580.00,585,570,580,36160300,20788908500
DSNG,2021-11-10,580.00,580,565,575,37636700,21543027000
DSNG,2021-11-09,600.00,605,575,575,25995800,15427503000
DSNG,2021-11-08,585.00,605,575,600,33301300,19622380500
DSNG,2021-11-05,595.00,595,580,585,39645100,23054574000
DSNG,2021-11-04,600.00,615,590,590,34724400,20883932000
DSNG,2021-11-03,585.00,600,575,600,31860300,18811421500
DSNG,2021-11-02,570.00,600,565,585,39869000,23381137000
DSNG,2021-11-01,580.00,590,565,570,22740500,13119787000
DSNG,2021-10-29,565.00,585,550,580,36760100,21098029500
DSNG,2021-10-28,580.00,590,560,565,25102200,14268366500
DSNG,2021-10-27,600.00,600,580,580,22870400,13498823000
DSNG,2021-10-26,600.00,605,590,595,57736200,34704309000
DSNG,2021-10-25,600.00,610,580,595,63183200,38027785500
DSNG,2021-10-22,600.00,600,575,600,31517000,18565838500
DSNG,2021-10-21,605.00,620,590,600,66115300,40430497500
DSNG,2021-10-19,610.00,620,595,605,42789400,26177914000
DSNG,2021-10-18,620.00,620,605,610,42368100,26091107000
DSNG,2021-10-15,610,615,590,615,50172400,30313904500
DSNG,2021-10-14,595,625,595,610,51848300,31675958500
DSNG,2021-10-13,600,620,585,595,50028000,30024255500
DSNG,2021-10-12,595,605,590,600,27227500,16293908000
DSNG,2021-10-11,605,630,585,595,54056300,32424074500
DSNG,2021-10-08,590,605,560,600,54530000,31780906000
DSNG,2021-10-07,630,645,590,590,54202100,33024608500
DSNG,2021-10-06,595,690,595,630,123206000,80079818500
DSNG,2021-10-05,555,595,555,595,54263300,31512054500
DSNG,2021-10-04,555,560,545,555,35154700,19419224500
DSNG,2021-10-01,540,575,540,555,55591900,31142474000
DSNG,2021-09-30,530,545,520,540,46975200,24867860000
DSNG,2021-09-29,535,550,520,530,39870000,21412168500
DSNG,2021-09-28,505,535,498,535,57010400,29385050300
DSNG,2021-09-27,500,505,496,505,29796500,14901183100
DSNG,2021-09-24,498,510,496,500,36801100,18424229500
DSNG,2021-09-23,492,498,490,498,32002300,15834622000
DSNG,2021-09-22,492,496,490,490,14989600,7377914800
DSNG,2021-09-21,492,494,490,492,11189000,5502462600
DSNG,2021-09-20,505,510,490,492,24103600,11959126400
DSNG,2021-09-17,515,515,500,505,18475800,9352323500
DSNG,2021-09-16,510,515,505,510,24462000,12540491000
DSNG,2021-09-15,515,515,505,510,29558000,15100334500
DSNG,2021-09-14,520,525,510,515,25161200,13088718500
DSNG,2021-09-13,520,525,510,520,28197000,14619103000
DSNG,2021-09-10,525,530,520,520,31011600,16264898000
DSNG,2021-09-09,510,530,510,525,34833000,18032906000
DSNG,2021-09-08,505,515,505,510,28190800,14379539500
