id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
EDGE,2021-12-30,23000.00,24525,22950,23400,15600,371102500
EDGE,2021-12-29,22925.00,23000,22925,23000,22100,508275000
EDGE,2021-12-21,23125.00,23800,23125,23800,17700,409530000
EDGE,2021-12-10,23400.00,24150,23400,24150,17400,408097500
EDGE,2021-11-24,23500.00,23500,23500,23500,48900,1149150000
EDGE,2021-11-15,24000.00,24000,23500,23700,19900,471697500
EDGE,2021-11-12,24025.00,24025,24000,24000,11500,276070000
EDGE,2021-11-08,24300.00,24450,24250,24250,11700,284097500
EDGE,2021-10-14,24975,24975,24250,24675,33700,818362500
EDGE,2021-10-13,25175,25175,24975,24975,13300,332287500
EDGE,2021-10-12,24875,25175,24400,25175,28700,712817500
EDGE,2021-10-07,25100,25675,25000,25675,10000,250642500
EDGE,2021-10-04,26125,26125,25500,25800,17100,439345000
EDGE,2021-09-17,26800,27900,26800,27050,20600,558970000
EDGE,2021-09-14,26025,26850,26025,26425,10800,285142500
EDGE,2021-09-13,26500,27025,26000,26025,11400,302680000
EDGE,2021-09-09,26125,27300,26125,26500,16100,429620000
EDGE,2021-09-08,26750,27850,26000,26125,18600,497347500
EDGE,2021-09-07,26200,28000,26200,26800,15900,427567500
EDGE,2021-09-06,27350,27350,25500,26200,21900,569832500
EDGE,2021-09-03,27725,27725,26500,27375,18400,494227500
EDGE,2021-09-01,27275,28350,27275,28100,18400,515582500
EDGE,2021-08-31,27100,28750,27100,27275,18600,516680000
EDGE,2021-08-30,29125,29200,27100,27100,54900,1512590000
EDGE,2021-08-27,30225,30325,28975,29125,30000,893772500
EDGE,2021-08-26,32700,33400,29775,30225,166700,5179665000
EDGE,2021-08-25,28900,32700,28900,32000,178900,5565757500
EDGE,2021-08-24,26000,28525,26000,28500,98400,2741122500
EDGE,2021-08-20,24700,26900,24700,25150,14700,377450000
EDGE,2021-08-19,25025,25100,24525,24700,19000,471015000
EDGE,2021-08-16,26500,26500,25100,25400,12000,305907500
EDGE,2021-08-13,27500,27500,26500,26500,15400,416772500
EDGE,2021-08-12,25100,29000,24500,27475,49700,1361030000
