id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
EMDE,2022-01-31,160.00,0,0,160,0,0
EMDE,2022-01-28,160.00,160,160,160,100,16000
EMDE,2022-01-27,157.00,160,150,160,62800,9491100
EMDE,2022-01-26,164.00,164,161,161,82900,13385900
EMDE,2022-01-25,160.00,164,155,164,5700,930300
EMDE,2022-01-24,159.00,160,159,160,2700,431900
EMDE,2022-01-21,157.00,160,150,159,8200,1245500
EMDE,2022-01-20,157.00,163,151,160,32900,5195800
EMDE,2022-01-19,160.00,160,156,159,16500,2608800
EMDE,2022-01-18,158.00,160,158,160,400,63800
EMDE,2022-01-17,160.00,163,157,159,15600,2514200
EMDE,2022-01-14,160.00,163,157,158,14400,2281900
EMDE,2022-01-13,163.00,163,151,157,193800,30121800
EMDE,2022-01-12,161.00,164,157,157,4500,724500
EMDE,2022-01-11,165.00,165,161,161,13900,2239500
