id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
FISH,2021-11-11,8500.00,9050,8500,8800,13600,120250000
FISH,2021-10-15,8600,9925,8600,9350,23700,221415000
FISH,2021-10-14,7400,8575,7400,8575,10000,83232500
FISH,2021-09-16,9700,9700,8925,8925,19400,175035000
FISH,2021-09-15,9800,11050,8975,9575,65800,671387500
FISH,2021-09-14,7950,9225,7950,9225,20300,185275000
FISH,2021-09-13,6000,7700,6000,7700,31900,214617500
FISH,2021-08-16,14150,16850,13075,13075,36800,552840000
FISH,2021-08-13,12550,14050,12500,14050,27200,379977500
FISH,2021-08-12,10000,11725,10000,11725,39300,457507500
