id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
FITT,2022-01-03,510.00,510,498,500,4205500,2116623900
FITT,2021-12-30,530.00,535,505,510,4814600,2504006500
FITT,2021-12-29,560.00,560,525,530,6355300,3439860500
FITT,2021-12-28,600.00,600,560,560,4391500,2595897500
FITT,2021-12-27,640.00,645,600,600,8369700,5217931500
FITT,2021-12-24,610.00,650,605,640,18016600,11294640000
FITT,2021-12-23,595.00,625,595,610,20699700,12546078000
FITT,2021-12-22,600.00,615,590,595,25751100,15455195500
FITT,2021-12-21,590.00,615,590,600,23795200,14296585500
FITT,2021-12-20,600.00,605,590,590,19718600,11728847000
FITT,2021-12-17,610.00,610,595,600,16287300,9845193500
FITT,2021-12-16,625.00,650,585,610,26127700,16276989000
FITT,2021-12-15,615.00,625,610,625,7750500,4789542000
FITT,2021-12-14,625.00,625,615,615,13746700,8517893500
FITT,2021-12-13,610.00,650,600,625,18812700,11781126500
FITT,2021-12-10,605.00,620,585,610,20671200,12466062500
FITT,2021-12-09,595.00,625,570,605,18266400,10943273500
FITT,2021-12-08,595.00,615,595,595,15900800,9565350500
FITT,2021-12-07,580.00,605,580,595,13529600,7969335000
FITT,2021-12-06,555.00,585,555,580,8676700,4964104000
FITT,2021-12-03,540.00,560,540,555,14308800,7875096500
FITT,2021-12-02,515.00,555,505,540,20270700,10870800000
FITT,2021-12-01,530.00,530,510,515,2499000,1301799000
FITT,2021-11-30,515.00,530,510,530,3704100,1922499000
FITT,2021-11-29,500.00,515,498,515,2022700,1019061800
FITT,2021-11-26,498.00,520,496,500,1469400,745975300
FITT,2021-11-25,498.00,520,498,520,3663000,1869445900
FITT,2021-11-24,510.00,525,496,498,3920600,2006359500
FITT,2021-11-17,476.00,520,476,510,8875300,4392038200
FITT,2021-11-16,478.00,488,476,476,3641900,1753627600
FITT,2021-11-15,474.00,486,468,478,8388100,4005993800
FITT,2021-11-11,374.00,466,374,466,14749900,6535337000
FITT,2021-11-10,358.00,374,356,374,2997000,1094412400
FITT,2021-11-09,352.00,360,348,358,2367300,837559800
FITT,2021-11-08,348.00,356,344,352,2550900,891499800
FITT,2021-11-05,346.00,350,346,348,776100,269134600
FITT,2021-11-04,334.00,348,334,346,3367400,1147787200
FITT,2021-11-03,334.00,336,330,334,1417600,472836000
FITT,2021-11-02,334.00,340,332,334,1926200,643874800
FITT,2021-11-01,324.00,350,324,334,4078300,1348291000
FITT,2021-10-29,306.00,330,306,324,5331300,1683575600
FITT,2021-10-28,314.00,320,306,306,4096300,1288943800
FITT,2021-10-27,316.00,322,310,312,3103400,978917200
FITT,2021-10-26,310.00,322,308,310,18091000,5693972000
FITT,2021-10-25,310.00,318,308,310,2760900,861584200
FITT,2021-10-22,300.00,312,294,310,4702200,1428648000
FITT,2021-10-21,302.00,316,300,300,17605800,5422284800
FITT,2021-10-19,308.00,308,300,302,2060500,622718200
FITT,2021-10-18,294.00,340,292,306,2874400,878910400
FITT,2021-10-15,294,306,288,292,2962000,863725200
FITT,2021-10-14,292,302,288,292,4741700,1385095400
FITT,2021-10-13,358,358,272,290,5647800,1688880600
FITT,2021-10-12,232,292,220,292,14727000,3712222600
FITT,2021-10-11,254,254,234,234,10808900,2562382800
FITT,2021-10-08,228,258,196,250,12984600,3196826700
FITT,2021-10-07,220,238,208,208,2771600,607972600
FITT,2021-10-06,240,244,222,222,940500,218340200
FITT,2021-10-05,238,252,210,238,4450300,1033444400
FITT,2021-10-04,145,191,142,191,4730500,866606500
FITT,2021-10-01,143,184,137,142,1374800,207449100
FITT,2021-09-30,148,148,146,146,27200,4019400
FITT,2021-09-29,147,148,143,148,19094500,2772858200
FITT,2021-09-28,187,187,141,147,24394300,3538996800
FITT,2021-09-27,143,153,137,141,167300,23638700
FITT,2021-09-24,143,144,141,143,113600,16154400
FITT,2021-09-23,143,155,143,143,134500,19720800
FITT,2021-09-22,142,148,142,142,1050000,151212300
FITT,2021-09-21,152,154,142,142,169100,25040300
FITT,2021-09-20,149,159,149,150,18472400,2766948900
FITT,2021-09-17,152,158,147,148,86400,12881400
FITT,2021-09-16,150,164,144,150,952800,143383000
FITT,2021-09-15,149,156,149,150,415600,63383800
FITT,2021-09-14,145,150,145,149,8692800,1294700500
FITT,2021-09-13,145,148,142,144,60500,8660300
FITT,2021-09-10,146,150,142,143,570000,83985200
FITT,2021-09-09,140,150,138,145,15905600,2231042000
FITT,2021-09-08,142,154,135,140,15152900,2132446400
FITT,2021-09-07,154,172,142,142,1576300,229065800
FITT,2021-09-06,124,167,123,152,8520600,1266281400
FITT,2021-09-03,127,128,124,124,1777900,225584900
FITT,2021-09-02,121,130,121,127,254300,32134200
FITT,2021-09-01,126,130,122,124,376800,46953900
FITT,2021-08-31,119,141,116,125,9346400,1150574600
FITT,2021-08-30,123,123,115,119,335000,39819600
FITT,2021-08-27,121,124,121,123,107500,13070300
FITT,2021-08-26,128,132,120,124,1793600,224803200
FITT,2021-08-25,125,131,123,126,168600,21147600
FITT,2021-08-24,130,131,121,123,5789300,722635700
FITT,2021-08-23,130,133,124,130,120700,15675400
FITT,2021-08-20,138,138,128,130,789600,101778300
FITT,2021-08-19,137,141,130,137,13718100,1846955300
FITT,2021-08-18,147,150,137,137,33360900,4638649700
FITT,2021-08-16,144,148,138,147,7317700,1025972100
FITT,2021-08-13,142,150,139,148,97800,14062700
FITT,2021-08-12,147,147,137,138,10955600,1525205000
