id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
FUJI,2022-01-31,745.00,745,730,745,10000,7341000
FUJI,2022-01-28,750.00,750,710,745,4800,3528000
FUJI,2022-01-27,700.00,775,700,750,8700,6535000
FUJI,2022-01-26,735.00,740,700,740,19100,13473500
FUJI,2022-01-25,720.00,740,720,740,10000,7308500
FUJI,2022-01-24,710.00,800,700,745,39800,29492000
FUJI,2022-01-21,690.00,710,670,710,25100,17471000
FUJI,2022-01-20,695.00,695,675,690,4400,3018500
FUJI,2022-01-19,670.00,695,670,695,7100,4762000
FUJI,2022-01-18,695.00,700,650,680,62700,41378500
FUJI,2022-01-17,760.00,760,695,695,151600,105940500
FUJI,2022-01-14,600.00,760,600,745,450600,332115000
FUJI,2022-01-13,600.00,610,600,610,1200,722000
FUJI,2022-01-12,620.00,620,595,615,2300,1399500
FUJI,2022-01-11,615.00,620,590,620,6800,4204000
