id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
GGRP,2022-01-31,610.00,645,590,635,2219800,1336697500
GGRP,2022-01-28,635.00,655,595,605,2434600,1524121000
GGRP,2022-01-27,670.00,670,625,635,3025600,1895529000
GGRP,2022-01-26,680.00,700,660,670,4010400,2703373500
GGRP,2022-01-25,690.00,740,665,680,2323000,1583953500
GGRP,2022-01-24,695.00,705,650,680,735800,499714500
GGRP,2022-01-21,675.00,710,625,690,243200,161582000
GGRP,2022-01-20,695.00,710,650,670,7796600,5166813500
GGRP,2022-01-19,745.00,750,695,695,820200,574626500
GGRP,2022-01-18,795.00,800,745,745,2823700,2133938000
GGRP,2022-01-17,805.00,810,785,800,170500,135733000
GGRP,2022-01-14,800.00,830,790,805,192900,154651000
GGRP,2022-01-13,830.00,830,805,815,179400,145426000
GGRP,2022-01-12,870.00,880,820,825,601800,499525000
GGRP,2022-01-11,800.00,895,785,880,963600,774234500
