id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
GLVA,2022-01-31,264.00,264,262,264,148100,38896800
GLVA,2022-01-28,270.00,270,266,270,72000,19357400
GLVA,2022-01-27,270.00,270,268,268,22000,5898200
GLVA,2022-01-26,270.00,270,266,270,72700,19570400
GLVA,2022-01-25,264.00,270,260,270,224600,60066800
GLVA,2022-01-24,270.00,270,266,270,15300,4115800
GLVA,2022-01-21,270.00,270,262,270,89600,23915000
GLVA,2022-01-20,270.00,270,262,270,84800,22763200
GLVA,2022-01-19,262.00,270,262,270,100900,27238200
GLVA,2022-01-18,262.00,268,262,268,13600,3623200
GLVA,2022-01-17,274.00,274,260,262,128600,34132800
GLVA,2022-01-14,268.00,276,268,268,24900,6690000
GLVA,2022-01-13,272.00,272,268,268,99400,26707000
GLVA,2022-01-12,270.00,276,270,272,13300,3598400
GLVA,2022-01-11,274.00,274,270,270,127800,34736600
