id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
HERO,2022-01-03,1840.00,1880,1835,1850,76100,140799000
HERO,2021-12-30,1820.00,1845,1800,1840,10600,19161000
HERO,2021-12-29,1800.00,1820,1790,1810,60500,109329000
HERO,2021-12-28,1750.00,1800,1750,1790,12100,21663000
HERO,2021-12-23,1810.00,1815,1765,1765,12400,22315500
HERO,2021-12-22,1800.00,1810,1750,1765,45800,81353000
HERO,2021-12-21,1750.00,1800,1750,1800,13700,24125500
HERO,2021-12-20,1740.00,1840,1725,1750,49000,86762500
HERO,2021-12-17,1805.00,1835,1740,1740,51600,91918000
HERO,2021-12-16,1785.00,1830,1785,1800,16100,28938500
HERO,2021-12-15,1805.00,1820,1800,1800,97200,175199500
HERO,2021-12-14,1815.00,1850,1800,1810,10500,19107500
HERO,2021-12-13,1860.00,1880,1805,1810,77800,141900000
HERO,2021-12-10,1850.00,1870,1800,1860,20200,36763500
HERO,2021-12-09,1880.00,1885,1870,1870,12300,23112500
HERO,2021-12-01,1885.00,1885,1830,1835,14600,27060500
HERO,2021-11-25,1860.00,1870,1860,1865,10400,19350500
HERO,2021-11-24,1875.00,1875,1820,1860,15300,28065000
HERO,2021-11-23,1850.00,1880,1800,1875,28400,51405500
HERO,2021-11-22,1850.00,1890,1815,1825,47000,86437000
HERO,2021-11-19,1880.00,1900,1840,1850,41400,77642000
HERO,2021-11-18,1880.00,1885,1825,1880,15400,28616500
HERO,2021-11-17,1805.00,1885,1800,1880,46100,84572000
HERO,2021-11-12,1870.00,1870,1805,1860,14200,25922000
HERO,2021-11-11,1805.00,1900,1800,1870,34200,63216500
HERO,2021-11-05,1820.00,1820,1775,1775,13300,23623500
HERO,2021-11-02,1860.00,1860,1785,1805,10100,18412000
HERO,2021-11-01,1825.00,1870,1785,1870,47800,87839500
HERO,2021-10-26,1750.00,1840,1750,1800,17900,31858500
HERO,2021-10-25,1850.00,1850,1725,1795,56400,100559000
HERO,2021-10-19,1865.00,1865,1810,1810,16900,30981500
HERO,2021-10-18,1810.00,1875,1810,1865,31100,57426500
HERO,2021-10-12,1835,1835,1780,1830,21000,37652000
HERO,2021-10-11,1800,1830,1790,1830,14200,25731000
HERO,2021-10-08,1750,1810,1725,1800,24900,44363000
HERO,2021-10-07,1760,1800,1725,1765,40700,71892500
HERO,2021-10-06,1730,1795,1725,1790,14200,25067500
HERO,2021-10-05,1785,1810,1725,1725,12900,22937500
HERO,2021-10-04,1800,1800,1740,1785,12700,22370500
HERO,2021-09-30,1830,1830,1760,1760,15600,27795000
HERO,2021-09-27,1750,1810,1750,1810,22800,40124000
HERO,2021-09-21,1780,1850,1750,1820,37000,66293500
HERO,2021-09-17,1830,1830,1760,1760,25400,44823000
HERO,2021-09-16,1790,1880,1730,1845,23900,43544000
HERO,2021-09-14,1810,1810,1665,1800,83300,142360000
HERO,2021-09-13,1735,1810,1710,1790,108900,187526500
HERO,2021-09-10,1770,1770,1735,1760,10400,18342500
HERO,2021-09-09,1805,1805,1765,1800,11800,21188000
HERO,2021-09-08,1780,1810,1765,1805,13700,24501500
HERO,2021-09-07,1765,1800,1760,1775,26100,46398500
HERO,2021-09-06,1780,1800,1715,1775,21100,37388000
HERO,2021-09-03,1790,1790,1700,1765,42700,74051500
HERO,2021-08-31,1770,1800,1725,1765,54400,96495500
HERO,2021-08-30,1730,1805,1725,1725,22100,38951000
HERO,2021-08-27,1805,1805,1700,1730,16400,28312500
HERO,2021-08-20,1800,1810,1790,1790,19400,34878000
HERO,2021-08-18,1830,1830,1745,1825,17600,30999000
HERO,2021-08-16,1780,1830,1750,1825,37900,67405500
HERO,2021-08-12,1740,1850,1705,1835,62500,111068000
