id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
IFII,2022-01-03,147.00,149,147,147,38800,5715400
IFII,2021-12-30,148.00,148,147,147,24900,3663600
IFII,2021-12-29,148.00,148,146,148,104400,15385500
IFII,2021-12-28,149.00,149,145,146,565500,82350200
IFII,2021-12-27,145.00,149,145,149,49400,7300700
IFII,2021-12-24,146.00,148,145,146,72100,10498700
IFII,2021-12-23,148.00,150,146,146,411400,60861800
IFII,2021-12-22,154.00,155,144,148,3646600,530229800
IFII,2021-12-21,152.00,154,150,154,60400,9166800
IFII,2021-12-20,154.00,154,150,152,406700,61196300
IFII,2021-12-17,154.00,155,152,154,117400,18019900
IFII,2021-12-16,151.00,160,150,154,549500,85054200
IFII,2021-12-15,154.00,155,150,153,215800,32721500
IFII,2021-12-14,154.00,154,151,153,92400,14118000
IFII,2021-12-13,155.00,155,152,153,117000,17903900
IFII,2021-12-10,152.00,155,150,152,150900,22993700
IFII,2021-12-09,153.00,156,151,152,214900,33064100
IFII,2021-12-08,151.00,153,151,153,141500,21489900
IFII,2021-12-07,152.00,153,151,151,164300,24910200
IFII,2021-12-06,152.00,153,150,152,137300,20838800
IFII,2021-12-03,152.00,154,150,150,131200,19736400
IFII,2021-12-02,151.00,154,150,152,257800,38975100
IFII,2021-12-01,153.00,153,150,152,96200,14571000
IFII,2021-11-30,153.00,154,151,151,131100,19996400
IFII,2021-11-29,155.00,155,150,151,470100,71129500
IFII,2021-11-26,164.00,158,152,153,600900,92913800
IFII,2021-11-25,164.00,164,156,157,553300,87396900
IFII,2021-11-24,164.00,169,157,157,4944900,782923400
IFII,2021-11-23,157.00,175,156,163,2121100,343467800
IFII,2021-11-22,160.00,160,157,157,169200,26789600
IFII,2021-11-19,158.00,162,156,160,125900,19847600
IFII,2021-11-18,162.00,162,157,158,96400,15196900
IFII,2021-11-17,164.00,164,157,160,239900,38114000
IFII,2021-11-16,163.00,165,160,163,327900,53382900
IFII,2021-11-15,166.00,182,155,163,8036900,1368859900
IFII,2021-11-12,158.00,183,155,165,3794500,645486600
IFII,2021-11-11,155.00,158,154,156,396300,61618800
IFII,2021-11-10,157.00,158,154,155,314900,48956800
IFII,2021-11-09,155.00,159,154,157,458300,71543700
IFII,2021-11-08,155.00,156,153,154,101300,15651000
IFII,2021-11-05,153.00,155,151,154,60100,9164500
IFII,2021-11-04,153.00,154,152,153,211100,32299400
IFII,2021-11-03,154.00,155,150,153,786600,118489900
IFII,2021-11-02,157.00,157,152,154,123900,19072600
IFII,2021-11-01,155.00,157,153,157,158700,24797200
IFII,2021-10-29,157.00,157,151,155,749400,113642500
IFII,2021-10-28,158.00,160,153,157,519900,82253300
IFII,2021-10-27,153.00,161,150,156,401000,62965800
IFII,2021-10-26,155.00,156,150,153,443500,67057900
IFII,2021-10-25,155.00,157,151,153,589700,91603600
IFII,2021-10-22,155.00,158,152,155,176000,27232900
IFII,2021-10-21,158.00,158,152,155,179600,27684400
IFII,2021-10-19,157.00,161,154,155,63000,9830200
IFII,2021-10-18,154.00,159,153,157,287600,45115300
IFII,2021-10-15,153,155,150,153,130100,19815800
IFII,2021-10-14,154,157,151,153,57500,8831500
IFII,2021-10-13,154,155,150,154,101200,15421000
IFII,2021-10-12,154,154,151,154,168500,25636600
IFII,2021-10-11,157,157,150,154,338900,51154800
IFII,2021-10-08,154,159,153,157,233000,36098700
IFII,2021-10-07,157,157,153,154,66900,10323900
IFII,2021-10-06,155,158,154,157,171200,26680600
IFII,2021-10-05,157,157,152,154,165700,25615000
IFII,2021-10-04,155,157,153,157,127300,19741400
IFII,2021-10-01,156,160,153,156,47700,7412400
IFII,2021-09-30,158,163,153,155,119500,18384300
IFII,2021-09-29,156,165,155,158,91600,14534200
IFII,2021-09-28,155,165,155,156,92400,14704400
IFII,2021-09-27,158,160,156,156,303000,47957600
IFII,2021-09-24,160,160,157,158,23700,3738000
IFII,2021-09-23,160,161,156,160,59400,9472500
IFII,2021-09-22,157,159,155,159,121500,19028900
IFII,2021-09-21,159,159,157,157,46000,7235600
IFII,2021-09-20,161,164,156,159,405300,64338600
IFII,2021-09-17,161,162,153,161,219300,35028800
IFII,2021-09-16,166,166,158,164,202800,32318400
IFII,2021-09-15,167,167,162,166,77100,12665500
IFII,2021-09-14,163,169,160,167,607700,100208700
IFII,2021-09-13,164,164,158,163,601500,96677000
IFII,2021-09-10,161,165,160,164,375600,60901300
IFII,2021-09-09,153,163,151,161,1358000,215682600
IFII,2021-09-08,155,155,152,153,39000,5942800
IFII,2021-09-07,155,155,151,155,709000,107872600
IFII,2021-09-06,155,158,151,158,537700,82190300
IFII,2021-09-03,156,156,152,154,120300,18708900
IFII,2021-09-02,154,158,151,156,99200,15142500
IFII,2021-09-01,153,155,153,155,518800,79461500
IFII,2021-08-31,156,157,152,153,260600,40506300
IFII,2021-08-30,145,156,145,156,243200,37298600
IFII,2021-08-27,150,158,150,153,720400,110979300
IFII,2021-08-26,146,164,146,158,2542000,398190100
IFII,2021-08-25,151,158,151,154,1623000,250328300
IFII,2021-08-24,152,154,149,151,547000,82563700
IFII,2021-08-23,144,156,144,152,435200,66514600
IFII,2021-08-20,145,158,145,153,622700,95400300
IFII,2021-08-19,151,155,149,153,2273300,342130100
IFII,2021-08-18,157,160,147,151,3940400,597629300
IFII,2021-08-16,137,178,137,157,24095700,3827571400
IFII,2021-08-13,137,140,136,137,277400,38296400
IFII,2021-08-12,133,145,132,136,3886200,543994600
