id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
IMAS,2022-01-31,745.00,750,720,735,1631900,1190478500
IMAS,2022-01-28,725.00,785,725,745,2270600,1721737500
IMAS,2022-01-27,745.00,750,725,725,785200,571357000
IMAS,2022-01-26,755.00,760,710,740,2727700,1999738500
IMAS,2022-01-25,780.00,780,755,755,736000,561925500
IMAS,2022-01-24,785.00,790,775,780,462600,360570500
IMAS,2022-01-21,780.00,795,775,785,593000,464869000
IMAS,2022-01-20,780.00,790,765,780,902000,700037500
IMAS,2022-01-19,795.00,810,780,780,531700,418481000
IMAS,2022-01-18,815.00,815,775,795,1109700,876853500
IMAS,2022-01-17,835.00,850,800,810,1519700,1254054000
IMAS,2022-01-14,800.00,825,795,815,815000,660984500
IMAS,2022-01-13,790.00,805,785,800,1016300,805714000
IMAS,2022-01-12,835.00,850,790,790,2643200,2134596500
IMAS,2022-01-11,860.00,865,825,835,1716700,1447473000
