id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
INDO,2022-01-31,81.00,87,81,83,11480400,963671500
INDO,2022-01-28,80.00,83,80,82,1984900,161940800
INDO,2022-01-27,82.00,85,81,82,5978300,495287100
INDO,2022-01-26,87.00,89,82,83,10686200,888214500
INDO,2022-01-25,87.00,90,87,87,2389400,209817500
INDO,2022-01-24,90.00,91,88,89,4010600,355677900
INDO,2022-01-21,91.00,93,89,90,4328400,390711600
INDO,2022-01-20,90.00,94,90,92,3196800,293594600
INDO,2022-01-19,92.00,98,90,91,28376200,2675286300
INDO,2022-01-18,93.00,96,90,90,6922400,635687000
INDO,2022-01-17,95.00,102,93,95,33407900,3279932600
INDO,2022-01-14,92.00,95,88,92,13694200,1256859800
INDO,2022-01-13,89.00,92,86,89,7662500,681927100
INDO,2022-01-12,94.00,95,89,89,8004100,731956400
INDO,2022-01-11,96.00,99,94,94,10570000,1014821600
