id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
INOV,2022-01-03,258.00,276,256,272,3807800,1032029800
INOV,2021-12-30,286.00,286,266,270,18921000,5150967400
INOV,2021-12-29,276.00,286,270,284,10992600,3076939800
INOV,2021-12-28,278.00,292,268,274,19159200,5359304600
INOV,2021-12-27,302.00,312,280,280,43739500,12706504600
INOV,2021-12-24,268.00,306,266,300,41639300,11926599200
INOV,2021-12-23,262.00,304,260,266,47153800,13076456000
INOV,2021-12-22,232.00,260,232,260,19151500,4817141800
INOV,2021-12-21,256.00,270,234,234,40042100,10100717400
INOV,2021-12-20,230.00,272,230,250,63772000,16479277600
INOV,2021-12-17,216.00,222,214,218,881300,192394000
INOV,2021-12-16,220.00,222,214,216,1376100,298384000
INOV,2021-12-15,218.00,222,216,218,1333200,290440800
INOV,2021-12-14,222.00,228,216,216,2129100,466089600
INOV,2021-12-13,224.00,232,220,222,1866500,415698200
INOV,2021-12-10,222.00,230,218,224,5099200,1152991400
INOV,2021-12-09,218.00,224,212,222,2651800,576470600
INOV,2021-12-08,222.00,226,218,218,603700,133520800
INOV,2021-12-07,224.00,228,214,222,1145200,252818400
INOV,2021-12-06,222.00,228,214,214,1669800,366079600
INOV,2021-12-03,218.00,238,214,222,7945800,1772838000
INOV,2021-12-02,222.00,224,212,220,1874800,406333200
INOV,2021-12-01,230.00,244,216,222,12000800,2740374600
INOV,2021-11-30,222.00,256,222,228,22596400,5369114600
INOV,2021-11-29,197.00,244,190,222,8688800,1921274200
INOV,2021-11-26,204.00,204,195,197,1672800,331565600
INOV,2021-11-25,204.00,208,198,200,1060400,212698800
INOV,2021-11-24,200.00,210,197,204,849800,171501700
INOV,2021-11-23,202.00,206,199,200,1177800,237117500
INOV,2021-11-22,210.00,210,197,204,1913100,382030100
INOV,2021-11-19,196.00,204,194,204,862400,171113600
INOV,2021-11-18,196.00,199,193,196,358000,70385800
INOV,2021-11-17,196.00,198,191,196,839400,162679100
INOV,2021-11-16,199.00,200,192,196,1713900,336457200
INOV,2021-11-15,202.00,216,199,199,3069700,626524900
INOV,2021-11-12,199.00,202,199,200,334100,66805500
INOV,2021-11-11,200.00,204,198,199,959200,192242300
INOV,2021-11-10,200.00,202,196,200,547500,108612300
INOV,2021-11-09,202.00,202,198,202,810000,161444100
INOV,2021-11-08,200.00,204,190,202,2401200,465574700
