id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
INTD,2022-01-31,226.00,234,220,230,21800,4917800
INTD,2022-01-28,222.00,238,218,224,90400,20526000
INTD,2022-01-27,226.00,226,218,220,178600,39375000
INTD,2022-01-26,242.00,242,226,226,123700,28242000
INTD,2022-01-25,242.00,260,226,226,387500,89785600
INTD,2022-01-24,234.00,248,228,242,60500,14634600
INTD,2022-01-21,238.00,248,226,234,77200,18081000
INTD,2022-01-20,240.00,272,224,240,617400,151535000
INTD,2022-01-19,224.00,242,224,236,11300,2674600
INTD,2022-01-18,226.00,244,224,234,238500,56395200
INTD,2022-01-17,238.00,238,218,226,67300,14942200
INTD,2022-01-14,230.00,232,222,230,126400,28804400
INTD,2022-01-13,230.00,234,218,218,173000,38279400
INTD,2022-01-12,244.00,244,230,234,214200,50097000
INTD,2022-01-11,242.00,248,230,244,64100,15236200
