id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
IRRA,2022-01-31,1765.00,1850,1760,1830,10486600,19022838500
IRRA,2022-01-28,1775.00,1790,1745,1765,8279500,14593268000
IRRA,2022-01-27,1800.00,1805,1745,1765,8819700,15582491000
IRRA,2022-01-26,1820.00,1820,1725,1770,15190900,26557717000
IRRA,2022-01-25,1970.00,1980,1850,1850,12500600,23545960500
IRRA,2022-01-24,2000.00,2030,1975,1985,4848300,9672945500
IRRA,2022-01-21,1980.00,2010,1965,2000,6058600,12050540000
IRRA,2022-01-20,1920.00,1980,1910,1980,5418400,10611201000
IRRA,2022-01-19,1975.00,1975,1925,1925,6855200,13352754500
IRRA,2022-01-18,2030.00,2060,1965,1975,8820800,17607006000
IRRA,2022-01-17,2030.00,2050,1985,2030,10516800,21181417000
IRRA,2022-01-14,2100.00,2110,2030,2050,8850800,18240101000
IRRA,2022-01-13,2110.00,2130,2090,2100,5524100,11636684000
IRRA,2022-01-12,2110.00,2150,2070,2110,15032100,31717763000
IRRA,2022-01-11,2170.00,2200,2030,2090,21501100,45216933000
