id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
ITIC,2022-01-31,298.00,302,284,294,343800,101592400
ITIC,2022-01-28,298.00,300,294,298,290000,86466600
ITIC,2022-01-27,302.00,304,292,298,286600,85600200
ITIC,2022-01-26,300.00,306,292,302,474100,142434400
ITIC,2022-01-25,304.00,306,290,300,997700,298878400
ITIC,2022-01-24,300.00,318,300,304,2467700,758463800
ITIC,2022-01-21,294.00,302,290,302,2195300,657304000
ITIC,2022-01-20,292.00,294,284,294,343000,99606000
ITIC,2022-01-19,288.00,294,282,292,721700,208919400
ITIC,2022-01-18,282.00,290,276,288,915500,260547400
ITIC,2022-01-17,276.00,296,274,290,767400,218407800
ITIC,2022-01-14,274.00,280,274,276,369800,102220600
ITIC,2022-01-13,278.00,280,270,278,559900,153605200
ITIC,2022-01-12,280.00,280,264,278,1151200,312393200
ITIC,2022-01-11,280.00,280,272,280,379700,104909400
