id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
JRPT,2022-01-03,520.00,520,505,520,2003500,1033851500
JRPT,2021-12-30,510.00,520,498,520,5169800,2660180600
JRPT,2021-12-29,500.00,510,498,510,1579500,797180700
JRPT,2021-12-28,505.00,510,498,500,1984200,992714900
JRPT,2021-12-27,498.00,505,492,505,1728700,862365200
JRPT,2021-12-24,496.00,496,490,496,883900,436949400
JRPT,2021-12-23,494.00,496,488,494,1293900,638040400
JRPT,2021-12-22,490.00,494,488,494,937900,460905800
JRPT,2021-12-21,490.00,492,482,490,1456300,712859000
JRPT,2021-12-20,488.00,490,484,490,1553300,757248600
JRPT,2021-12-17,486.00,488,482,488,1228000,596304800
JRPT,2021-12-16,488.00,488,484,488,1293000,629850400
JRPT,2021-12-15,488.00,490,486,488,1934000,943756800
JRPT,2021-12-14,490.00,490,484,488,1130600,550472000
JRPT,2021-12-13,488.00,492,486,490,1970600,963012400
JRPT,2021-12-10,490.00,490,484,488,1605800,781993000
JRPT,2021-12-09,488.00,490,486,490,1238900,605467800
JRPT,2021-12-08,488.00,490,486,488,1444300,704417600
JRPT,2021-12-07,484.00,490,484,488,3744600,1826808400
JRPT,2021-12-06,490.00,490,484,484,1725700,838260000
JRPT,2021-12-03,488.00,490,482,490,1440500,701237600
JRPT,2021-12-02,488.00,490,482,488,1153300,561822400
JRPT,2021-12-01,490.00,492,480,488,2362100,1151152600
JRPT,2021-11-30,492.00,494,488,490,2446400,1198166400
JRPT,2021-11-29,488.00,492,480,490,1984100,967486200
JRPT,2021-11-26,494.00,492,486,488,2815300,1374890200
JRPT,2021-11-25,494.00,494,488,490,2664300,1306751200
JRPT,2021-11-24,490.00,494,488,492,3167800,1555074400
JRPT,2021-11-23,488.00,494,488,490,2842400,1392713800
JRPT,2021-11-22,490.00,494,488,490,4180000,2050138000
JRPT,2021-11-19,490.00,492,488,490,1578300,773414800
JRPT,2021-11-18,490.00,492,486,490,1737800,849937800
JRPT,2021-11-17,488.00,494,488,490,2519900,1234660400
JRPT,2021-11-16,488.00,492,486,488,3332700,1626614200
JRPT,2021-11-15,490.00,492,486,488,2349600,1147411200
JRPT,2021-11-12,490.00,492,488,490,2065500,1012619000
JRPT,2021-11-11,490.00,494,488,490,1207900,591666200
JRPT,2021-11-10,494.00,494,488,490,2353200,1153680400
JRPT,2021-11-09,494.00,494,488,490,3698800,1812084000
JRPT,2021-11-08,494.00,494,486,494,3794700,1860518400
JRPT,2021-11-05,498.00,498,490,494,1911400,942791000
JRPT,2021-11-04,496.00,498,494,498,1889900,937556400
JRPT,2021-11-03,498.00,498,490,496,1241000,611834000
JRPT,2021-11-02,496.00,498,492,496,1086700,537024600
JRPT,2021-11-01,498.00,498,490,496,1787100,882499600
JRPT,2021-10-29,496.00,496,490,496,2053700,1012808800
JRPT,2021-10-28,498.00,498,494,496,1186200,587073800
JRPT,2021-10-27,500.00,500,496,498,1916900,953808400
JRPT,2021-10-26,500.00,500,496,500,2524200,1260443200
JRPT,2021-10-25,498.00,500,496,500,7734000,3858970600
JRPT,2021-10-22,500.00,500,494,498,4925700,2452340000
JRPT,2021-10-21,500.00,505,496,498,6543100,3261748500
JRPT,2021-10-19,500.00,505,498,500,4083700,2041034400
JRPT,2021-10-18,496.00,500,494,500,2604700,1294179800
JRPT,2021-10-15,500,505,486,494,9663700,4776276600
JRPT,2021-10-14,505,505,494,500,5827100,2907603300
JRPT,2021-10-13,500,505,498,500,1813900,905712000
JRPT,2021-10-12,496,510,496,500,7310600,3655341000
JRPT,2021-10-11,494,505,492,496,6431900,3206799300
JRPT,2021-10-08,486,496,484,490,2966000,1454502200
JRPT,2021-10-07,478,484,478,484,5444500,2623837800
JRPT,2021-10-06,478,482,478,480,8139800,3909690400
JRPT,2021-10-05,476,480,472,478,2952500,1404111200
JRPT,2021-10-04,464,480,462,476,7264000,3436770200
JRPT,2021-10-01,464,464,462,464,2835300,1313209800
JRPT,2021-09-30,468,468,456,464,5222000,2402238000
