id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
KAEF,2022-01-03,2430.00,2500,2420,2490,2029000,4986752000
KAEF,2021-12-30,2440.00,2460,2420,2430,973800,2369709000
KAEF,2021-12-29,2460.00,2480,2440,2440,1193000,2925904000
KAEF,2021-12-28,2430.00,2480,2420,2450,1632000,3997185000
KAEF,2021-12-27,2430.00,2470,2410,2420,1764000,4279794000
KAEF,2021-12-24,2450.00,2460,2420,2430,1317000,3203588000
KAEF,2021-12-23,2520.00,2540,2430,2450,3394600,8354934000
KAEF,2021-12-22,2530.00,2550,2490,2520,2940500,7403837000
KAEF,2021-12-21,2560.00,2600,2520,2530,2729500,6977940000
KAEF,2021-12-20,2560.00,2610,2540,2560,3894500,10023392000
KAEF,2021-12-17,2620.00,2660,2550,2560,9086100,23717751000
KAEF,2021-12-16,2500.00,2720,2480,2590,28076100,73721242000
KAEF,2021-12-15,2480.00,2500,2460,2480,1470000,3656477000
KAEF,2021-12-14,2510.00,2550,2480,2480,2761400,6911356000
KAEF,2021-12-13,2530.00,2550,2500,2510,1630900,4111444000
KAEF,2021-12-10,2520.00,2570,2500,2530,2773800,7026689000
KAEF,2021-12-09,2600.00,2650,2510,2520,14680200,37960966000
KAEF,2021-12-08,2410.00,2600,2410,2550,12978300,32614303000
KAEF,2021-12-07,2440.00,2470,2410,2410,4778200,11562558000
KAEF,2021-12-06,2510.00,2570,2420,2440,7966000,19673586000
KAEF,2021-12-03,2610.00,2610,2520,2550,5210500,13339437000
KAEF,2021-12-02,2550.00,2650,2470,2590,9007300,23426701000
KAEF,2021-12-01,2770.00,2790,2550,2550,23330700,62163230000
KAEF,2021-11-30,2610.00,2810,2480,2740,50483100,135994789000
KAEF,2021-11-29,2400.00,2570,2400,2570,17881800,45159961000
KAEF,2021-11-26,2420.00,2470,2400,2410,2204800,5327993000
KAEF,2021-11-25,2420.00,2480,2410,2460,3756400,9204724000
KAEF,2021-11-24,2430.00,2440,2380,2410,2013600,4843971000
KAEF,2021-11-23,2440.00,2450,2410,2420,745000,1807705000
KAEF,2021-11-22,2410.00,2450,2410,2440,1001200,2428231000
KAEF,2021-11-19,2400.00,2430,2400,2410,1062400,2562921000
KAEF,2021-11-18,2410.00,2420,2400,2400,942600,2268282000
KAEF,2021-11-17,2420.00,2430,2400,2410,991000,2393398000
KAEF,2021-11-16,2430.00,2440,2410,2420,1093300,2647998000
KAEF,2021-11-15,2450.00,2460,2410,2430,1456200,3541980000
KAEF,2021-11-12,2470.00,2480,2450,2450,924600,2272889000
KAEF,2021-11-11,2460.00,2470,2440,2470,1086300,2667986000
KAEF,2021-11-10,2460.00,2480,2440,2460,1078400,2646164000
KAEF,2021-11-09,2460.00,2520,2450,2460,3373500,8372040000
KAEF,2021-11-08,2470.00,2470,2440,2450,1307800,3208255000
KAEF,2021-11-05,2540.00,2550,2430,2470,4570400,11289545000
KAEF,2021-11-04,2520.00,2670,2490,2510,22125100,57444058000
KAEF,2021-11-03,2440.00,2480,2430,2440,1325100,3244173000
