id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
KMTR,2022-01-31,346.00,358,340,350,47800,16377000
KMTR,2022-01-28,342.00,360,332,348,105400,35997400
KMTR,2022-01-27,340.00,344,340,342,2800,956600
KMTR,2022-01-26,340.00,344,336,344,10500,3538600
KMTR,2022-01-25,344.00,360,332,344,42400,14444200
KMTR,2022-01-24,344.00,348,338,346,50100,17085000
KMTR,2022-01-21,348.00,348,342,346,7800,2699400
KMTR,2022-01-20,340.00,350,336,350,33300,11356400
KMTR,2022-01-19,342.00,358,338,342,188600,64444000
KMTR,2022-01-18,334.00,348,330,344,31500,10618400
KMTR,2022-01-17,340.00,360,322,334,269600,90765400
KMTR,2022-01-14,342.00,346,336,344,10400,3539200
KMTR,2022-01-13,344.00,344,338,342,13600,4635600
KMTR,2022-01-12,360.00,360,332,344,56300,19108800
KMTR,2022-01-11,344.00,366,338,340,43800,15087400
