id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
KOIN,2022-01-03,158.00,159,158,159,13600,2160800
KOIN,2021-12-29,160.00,160,160,160,26900,4304000
KOIN,2021-12-28,160.00,162,159,160,36500,5868700
KOIN,2021-12-27,160.00,160,158,158,47000,7471700
KOIN,2021-12-24,156.00,157,156,156,77300,12058900
KOIN,2021-12-23,159.00,159,156,156,37800,5915900
KOIN,2021-12-22,164.00,164,160,161,132200,21243500
KOIN,2021-12-21,163.00,164,160,164,54800,8796000
KOIN,2021-12-20,163.00,170,162,163,147000,24446200
KOIN,2021-12-17,163.00,165,163,163,49200,8032500
KOIN,2021-12-15,166.00,167,163,166,17900,2976700
KOIN,2021-12-14,162.00,166,162,166,40000,6516900
KOIN,2021-12-09,162.00,165,160,165,24900,3995200
KOIN,2021-12-06,167.00,167,167,167,12700,2120900
KOIN,2021-11-30,163.00,164,163,164,21300,3486900
KOIN,2021-11-29,165.00,165,162,163,17500,2843000
KOIN,2021-11-25,170.00,170,163,170,242600,41209800
KOIN,2021-11-24,167.00,170,163,170,278500,46946600
KOIN,2021-11-23,166.00,167,163,167,34100,5638800
KOIN,2021-11-22,167.00,167,163,164,23600,3861800
KOIN,2021-11-18,168.00,180,162,166,110200,18470900
KOIN,2021-11-17,164.00,168,163,168,14300,2349700
KOIN,2021-11-16,165.00,167,164,164,197800,32852800
KOIN,2021-11-15,163.00,165,163,165,77500,12771900
KOIN,2021-11-12,163.00,165,162,163,21800,3576200
KOIN,2021-11-11,163.00,163,162,163,18400,2990900
KOIN,2021-11-10,164.00,165,163,163,30300,4966500
KOIN,2021-11-09,161.00,164,161,164,17400,2837600
KOIN,2021-11-08,162.00,164,161,161,44300,7194000
KOIN,2021-11-05,160.00,163,160,162,38600,6250500
KOIN,2021-11-03,161.00,161,160,160,22400,3584600
KOIN,2021-10-21,163.00,163,162,162,24400,3958800
KOIN,2021-10-19,163.00,165,163,163,134200,21975200
KOIN,2021-10-14,164,164,159,159,23600,3771300
KOIN,2021-10-11,164,164,163,163,14300,2331200
KOIN,2021-10-08,163,164,163,164,43300,7100500
KOIN,2021-10-07,164,164,163,163,32800,5375400
KOIN,2021-10-06,160,164,160,164,10300,1650800
KOIN,2021-10-05,162,168,158,164,102200,16698400
KOIN,2021-10-01,155,160,154,158,61000,9541700
KOIN,2021-09-28,165,166,157,166,121000,19482700
KOIN,2021-09-27,168,168,166,167,48800,8105100
KOIN,2021-09-24,169,179,166,168,337200,57591500
KOIN,2021-09-23,172,180,164,169,1600300,271565400
KOIN,2021-09-22,160,179,160,169,2127600,360778800
KOIN,2021-09-21,159,196,154,159,1163900,199259200
KOIN,2021-09-20,159,159,156,159,28300,4461900
KOIN,2021-09-15,158,160,158,160,42200,6742000
KOIN,2021-09-13,159,166,159,159,12700,2020000
KOIN,2021-09-09,165,165,160,160,37800,6055000
KOIN,2021-09-08,160,162,160,160,87200,14056400
KOIN,2021-09-06,161,161,160,160,25100,4023100
KOIN,2021-09-03,160,160,160,160,20300,3248000
KOIN,2021-09-02,162,162,158,161,34400,5534700
KOIN,2021-09-01,166,166,160,162,63700,10417800
KOIN,2021-08-31,165,166,163,164,40100,6547100
KOIN,2021-08-30,161,180,158,163,340400,57454500
KOIN,2021-08-27,160,161,160,161,40700,6546500
KOIN,2021-08-26,161,166,157,160,125000,20310400
KOIN,2021-08-25,159,164,159,161,161100,26163700
KOIN,2021-08-24,157,159,157,159,27100,4259200
KOIN,2021-08-23,159,161,157,157,43500,6868400
KOIN,2021-08-20,159,160,158,159,51900,8249500
KOIN,2021-08-19,158,158,158,158,16500,2607000
KOIN,2021-08-18,159,160,158,158,107400,17075300
KOIN,2021-08-13,157,158,155,158,395800,62138300
KOIN,2021-08-12,159,159,157,158,36100,5695600
