id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
KOPI,2022-01-03,645.00,645,600,600,23900,14689000
KOPI,2021-12-30,690.00,690,645,645,50400,33077500
KOPI,2021-12-29,735.00,740,690,690,34300,24008500
KOPI,2021-12-28,790.00,805,735,735,22800,17369500
KOPI,2021-12-27,840.00,840,785,785,62200,49308000
KOPI,2021-12-24,860.00,940,835,840,121300,103068000
KOPI,2021-12-23,965.00,1200,895,895,656800,666161000
KOPI,2021-12-22,770.00,960,735,960,324200,296352500
KOPI,2021-12-21,850.00,850,745,770,34600,27902500
KOPI,2021-12-20,655.00,815,615,800,248000,195060000
KOPI,2021-12-17,675.00,690,650,655,54000,35603500
KOPI,2021-12-15,690.00,735,690,700,13200,9523500
KOPI,2021-12-14,690.00,780,690,690,71700,51933000
KOPI,2021-12-13,685.00,820,645,690,122200,85996500
KOPI,2021-12-10,610.00,690,610,690,18800,12241000
KOPI,2021-12-08,715.00,800,660,660,102500,71646500
KOPI,2021-12-07,575.00,715,575,705,62500,42839500
KOPI,2021-12-03,575.00,620,570,580,13400,7826000
KOPI,2021-12-02,645.00,645,600,600,32600,20153500
KOPI,2021-12-01,615.00,685,615,640,83000,55425000
KOPI,2021-11-23,610.00,640,575,620,23200,14145000
KOPI,2021-11-22,610.00,615,610,610,10200,6222500
KOPI,2021-11-16,615.00,615,610,610,11100,6771500
KOPI,2021-11-15,615.00,650,580,615,10200,6116500
KOPI,2021-11-12,670.00,670,615,615,12100,7502000
KOPI,2021-11-11,600.00,640,590,620,13800,8430000
KOPI,2021-11-05,615.00,620,580,600,15400,9177500
KOPI,2021-11-04,600.00,640,595,620,11900,7146000
KOPI,2021-11-03,630.00,655,555,600,20500,12224500
KOPI,2021-11-02,585.00,650,565,590,27400,16464000
KOPI,2021-10-29,650.00,650,605,610,13900,8581500
KOPI,2021-10-28,665.00,675,600,650,51600,32308000
KOPI,2021-10-26,695.00,695,650,690,10800,7292500
KOPI,2021-10-25,660.00,695,630,670,55400,36385000
KOPI,2021-10-22,700.00,860,645,660,402200,297448500
KOPI,2021-10-21,570.00,690,555,690,145300,93411000
KOPI,2021-10-18,610.00,610,570,575,26100,15341000
KOPI,2021-10-15,580,620,580,610,38000,22460500
KOPI,2021-10-14,650,650,620,620,62400,38706500
KOPI,2021-10-13,725,880,665,665,171800,131562000
KOPI,2021-10-12,700,710,700,710,141800,100566500
KOPI,2021-10-11,460,570,460,570,71300,38411500
KOPI,2021-10-05,490,490,484,484,14000,6822000
KOPI,2021-10-04,482,520,482,510,15400,7798000
KOPI,2021-09-30,500,500,478,480,18500,9215800
KOPI,2021-09-28,490,515,486,515,39800,19996000
KOPI,2021-09-24,555,575,520,520,34700,18090000
KOPI,2021-09-23,595,640,555,555,68900,40953000
KOPI,2021-09-22,590,640,590,595,26300,16019500
KOPI,2021-09-21,585,600,545,590,26500,14857500
KOPI,2021-09-16,590,640,550,550,17400,9661000
KOPI,2021-09-15,570,610,530,590,20700,11319000
KOPI,2021-09-13,575,580,565,565,46100,26303000
KOPI,2021-09-10,560,690,550,570,34400,20880500
KOPI,2021-09-03,630,630,585,620,11200,6605000
KOPI,2021-09-02,605,625,605,625,12500,7668500
KOPI,2021-09-01,625,625,590,605,31800,19349000
KOPI,2021-08-30,660,665,650,650,32900,21402000
KOPI,2021-08-27,745,745,695,695,22100,15428500
KOPI,2021-08-26,830,830,745,745,111300,84684500
KOPI,2021-08-25,665,830,665,800,315400,249118000
KOPI,2021-08-24,690,690,665,665,14500,9948500
KOPI,2021-08-23,640,710,600,710,129100,82328500
KOPI,2021-08-20,595,725,540,640,659300,421592000
KOPI,2021-08-19,520,580,520,580,58000,31848000
KOPI,2021-08-18,500,520,500,520,40900,20867000
KOPI,2021-08-16,505,510,500,500,15400,7829000
KOPI,2021-08-13,510,510,505,505,22100,11257500
KOPI,2021-08-12,510,520,510,515,20300,10451500
