id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
LMPI,2022-01-31,192.00,204,192,194,4967000,970065400
LMPI,2022-01-28,206.00,206,206,206,1738300,358089800
LMPI,2022-01-27,240.00,268,220,220,87888500,21765046800
LMPI,2022-01-26,197.00,238,195,236,27894400,5961134600
LMPI,2022-01-25,196.00,198,195,197,470800,92002600
LMPI,2022-01-24,193.00,196,193,195,486300,94237400
LMPI,2022-01-21,200.00,200,193,193,1204800,233728100
LMPI,2022-01-20,193.00,202,193,202,2659200,530493800
LMPI,2022-01-19,193.00,195,192,194,426000,81975000
LMPI,2022-01-18,193.00,196,192,192,312000,60015300
LMPI,2022-01-17,193.00,196,192,193,1329200,256423400
LMPI,2022-01-14,192.00,192,189,192,643200,122111000
LMPI,2022-01-13,196.00,196,190,192,647200,123969100
LMPI,2022-01-12,196.00,200,189,195,1266300,246677700
LMPI,2022-01-11,200.00,206,196,196,2828300,566718500
