id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
LTLS,2022-01-03,715.00,745,715,735,421300,309543500
LTLS,2021-12-30,715.00,745,710,715,787300,574944500
LTLS,2021-12-29,700.00,710,685,705,229200,159899500
LTLS,2021-12-28,705.00,705,690,700,14000,9773500
LTLS,2021-12-27,680.00,710,680,700,23400,16240500
LTLS,2021-12-24,700.00,700,680,680,75400,51506000
LTLS,2021-12-23,705.00,710,685,690,491600,346093500
LTLS,2021-12-22,700.00,700,680,700,100600,70391500
LTLS,2021-12-21,680.00,685,665,675,27400,18394000
LTLS,2021-12-17,695.00,705,680,680,39300,27239000
LTLS,2021-12-16,700.00,710,690,695,80300,55932000
LTLS,2021-12-15,670.00,720,670,690,194500,138135500
LTLS,2021-12-14,680.00,680,675,675,37800,25625000
LTLS,2021-12-13,690.00,690,670,680,66200,45002500
LTLS,2021-12-10,710.00,710,690,690,31300,21740500
LTLS,2021-12-09,675.00,710,670,695,253900,176843000
LTLS,2021-12-08,685.00,685,670,670,353500,237437000
LTLS,2021-12-07,700.00,700,685,685,51000,35189500
LTLS,2021-12-06,710.00,710,680,700,38200,26462000
LTLS,2021-12-03,720.00,720,690,710,97900,69370000
LTLS,2021-12-02,685.00,710,685,710,35900,25007000
LTLS,2021-12-01,695.00,700,680,680,140100,96550500
LTLS,2021-11-30,670.00,720,670,695,49600,34239000
LTLS,2021-11-29,675.00,700,650,670,641200,425975500
LTLS,2021-11-26,715.00,720,670,675,601600,409182500
LTLS,2021-11-25,715.00,720,705,710,25800,18237000
LTLS,2021-11-24,710.00,715,690,710,246300,173910000
LTLS,2021-11-23,720.00,720,710,710,115700,82401000
LTLS,2021-11-22,715.00,720,710,720,100300,71631500
LTLS,2021-11-19,725.00,725,710,715,464700,332065000
LTLS,2021-11-18,750.00,750,700,715,419400,299566500
LTLS,2021-11-17,705.00,750,705,725,2914900,2129705000
LTLS,2021-11-16,705.00,705,690,690,396500,275965000
LTLS,2021-11-15,695.00,710,695,705,1255900,877830000
LTLS,2021-11-12,660.00,700,660,695,968100,666799500
LTLS,2021-11-11,645.00,675,645,665,655700,435084500
LTLS,2021-11-10,650.00,655,640,640,80000,51647000
LTLS,2021-11-09,635.00,655,625,645,516000,331577500
LTLS,2021-11-08,620.00,640,620,630,379100,239238500
LTLS,2021-11-05,620.00,625,620,620,220600,136788000
LTLS,2021-11-04,625.00,625,615,620,128000,79308000
LTLS,2021-11-03,625.00,630,620,625,133900,83758500
LTLS,2021-11-02,630.00,630,620,630,40100,25115500
LTLS,2021-11-01,620.00,630,620,630,309200,193289500
LTLS,2021-10-29,620.00,630,615,620,102800,63791000
LTLS,2021-10-28,615.00,630,610,620,272000,167862000
LTLS,2021-10-27,600.00,620,600,615,33800,20749500
LTLS,2021-10-26,605.00,605,595,600,140300,84339500
LTLS,2021-10-25,605.00,610,600,605,30100,18211000
LTLS,2021-10-22,620.00,620,610,610,14700,9010500
LTLS,2021-10-21,630.00,630,610,620,138200,85400500
LTLS,2021-10-19,625.00,625,620,625,26000,16162500
LTLS,2021-10-18,620.00,620,615,620,146100,90448500
LTLS,2021-10-15,615,625,610,615,90500,56027500
LTLS,2021-10-14,610,615,605,615,100500,61306500
LTLS,2021-10-13,610,620,600,610,116400,70364500
LTLS,2021-10-12,605,620,605,610,11600,7095000
LTLS,2021-10-11,620,620,600,605,97300,59336500
LTLS,2021-10-08,615,625,600,605,125200,77063500
LTLS,2021-10-07,615,620,595,605,699600,419988500
LTLS,2021-10-06,600,615,600,615,178000,107659500
LTLS,2021-10-05,620,620,600,610,1025200,617232000
LTLS,2021-10-04,630,630,605,615,134500,82375000
LTLS,2021-10-01,625,625,615,625,11600,7228000
LTLS,2021-09-30,630,630,615,620,376900,233379500
LTLS,2021-09-29,615,630,615,620,182100,113377000
LTLS,2021-09-28,630,630,620,620,92700,57565500
LTLS,2021-09-27,620,630,620,630,776200,485571000
LTLS,2021-09-24,610,625,610,620,820600,507093500
LTLS,2021-09-23,610,625,600,610,485400,297043500
LTLS,2021-09-22,595,610,590,605,606200,363949500
LTLS,2021-09-21,585,595,585,595,43200,25284000
LTLS,2021-09-20,595,595,580,595,176600,104785500
LTLS,2021-09-17,595,600,590,595,12900,7690000
LTLS,2021-09-16,595,595,580,595,177800,105113500
LTLS,2021-09-15,590,595,590,595,49400,29154000
LTLS,2021-09-14,585,595,585,595,16100,9530000
LTLS,2021-09-13,595,600,585,590,80600,47510000
LTLS,2021-09-10,585,600,585,595,11300,6684500
LTLS,2021-09-09,590,595,590,590,17600,10411000
LTLS,2021-09-08,600,600,585,590,435700,257628000
LTLS,2021-09-07,595,600,590,600,67000,39896000
LTLS,2021-09-06,600,600,590,595,45600,27292500
LTLS,2021-09-03,595,605,590,600,26300,15621000
LTLS,2021-09-02,600,610,580,595,362700,213168500
LTLS,2021-09-01,590,605,585,595,170700,102033000
LTLS,2021-08-31,590,600,585,590,173500,102724000
LTLS,2021-08-30,590,590,585,585,94100,55168000
LTLS,2021-08-27,585,595,585,585,134700,78925000
LTLS,2021-08-26,600,600,580,585,36500,21486000
LTLS,2021-08-25,595,600,590,600,79100,47175500
LTLS,2021-08-24,595,605,590,595,140900,84468000
LTLS,2021-08-23,595,600,575,590,115800,67902500
LTLS,2021-08-20,585,595,575,595,147000,85564500
LTLS,2021-08-19,600,600,580,590,152400,89345000
LTLS,2021-08-18,590,605,585,600,499900,292979500
LTLS,2021-08-16,600,605,585,590,172300,101353000
LTLS,2021-08-13,595,605,575,600,271900,160579500
LTLS,2021-08-12,590,610,585,595,290000,171667500
