id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
MASA,2022-01-31,4850.00,4850,4840,4840,800,3876000
MASA,2022-01-28,4840.00,4840,4840,4840,100,484000
MASA,2022-01-27,4860.00,4860,4840,4840,2300,11134000
MASA,2022-01-26,4830.00,4860,4830,4860,2100,10185000
MASA,2022-01-25,4870.00,4870,4550,4860,9400,43565000
MASA,2022-01-24,4890.00,4890,4750,4870,1800,8641000
MASA,2022-01-21,4890.00,4890,4890,4890,100,489000
MASA,2022-01-20,4730.00,4900,4730,4890,2900,14060000
MASA,2022-01-19,4660.00,4730,4660,4730,2500,11735000
MASA,2022-01-18,4640.00,4650,4640,4650,2300,10685000
MASA,2022-01-17,4550.00,4690,4540,4620,3500,16016000
MASA,2022-01-14,4570.00,4570,4540,4550,6400,29146000
MASA,2022-01-13,4710.00,4850,4520,4570,24500,111878000
MASA,2022-01-12,4800.00,4900,4760,4860,4700,22699000
MASA,2022-01-11,4650.00,4870,4650,4800,6500,30732000
