id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
MBTO,2022-01-03,149.00,156,139,141,5307100,786605800
MBTO,2021-12-30,144.00,152,143,146,397900,58399200
MBTO,2021-12-29,149.00,151,144,144,1041500,150976500
MBTO,2021-12-28,160.00,160,148,154,231300,35459800
MBTO,2021-12-27,149.00,150,147,148,38900,5789800
MBTO,2021-12-24,152.00,152,145,149,659500,98182300
MBTO,2021-12-23,158.00,158,153,153,323800,49874200
MBTO,2021-12-22,163.00,163,158,158,571500,91133000
MBTO,2021-12-21,165.00,166,162,163,327200,53792600
MBTO,2021-12-20,167.00,170,162,165,446800,73464400
MBTO,2021-12-17,172.00,172,166,167,313600,52569100
MBTO,2021-12-16,169.00,178,168,169,563900,96363300
MBTO,2021-12-15,168.00,176,168,169,417200,71313800
MBTO,2021-12-14,178.00,180,168,168,482900,83739300
MBTO,2021-12-13,175.00,181,172,176,711600,125734000
MBTO,2021-12-10,168.00,176,168,173,1853400,320297700
MBTO,2021-12-09,160.00,167,156,167,932100,153921900
MBTO,2021-12-08,165.00,165,156,156,574600,90437500
MBTO,2021-12-07,168.00,168,157,163,406200,66068200
MBTO,2021-12-06,160.00,168,160,166,690300,114131500
MBTO,2021-12-03,166.00,169,160,160,439600,71850100
MBTO,2021-12-02,161.00,171,155,165,1219000,199881900
MBTO,2021-12-01,154.00,160,150,160,1138300,176175000
MBTO,2021-11-30,161.00,165,154,156,1263800,201058500
MBTO,2021-11-29,170.00,170,161,161,2433400,398035300
MBTO,2021-11-26,146.00,218,173,173,40569000,8169715300
MBTO,2021-11-25,146.00,189,143,186,15669100,2779151400
MBTO,2021-11-24,145.00,150,144,147,223700,32877000
MBTO,2021-11-23,149.00,149,144,145,228700,33384700
MBTO,2021-11-22,146.00,149,143,149,301200,43977500
MBTO,2021-11-19,147.00,147,143,146,136900,19716700
MBTO,2021-11-18,148.00,149,145,147,194400,28391000
MBTO,2021-11-17,150.00,153,146,149,1011000,150223800
MBTO,2021-11-16,138.00,152,137,150,2209600,326124100
MBTO,2021-11-15,134.00,148,134,137,648900,91061000
MBTO,2021-11-12,143.00,143,134,134,462600,63314400
MBTO,2021-11-11,135.00,154,133,143,2102400,305038500
MBTO,2021-11-10,135.00,139,135,135,94900,12872800
MBTO,2021-11-09,138.00,144,133,140,497100,68486800
MBTO,2021-11-08,138.00,142,136,138,74800,10236800
MBTO,2021-11-05,139.00,142,135,137,322500,44457100
MBTO,2021-11-04,139.00,143,132,139,249200,34000100
MBTO,2021-11-03,139.00,139,131,135,464900,62814600
MBTO,2021-11-02,138.00,141,137,138,299300,41222700
MBTO,2021-11-01,146.00,146,135,141,403700,56208200
MBTO,2021-10-29,141.00,145,140,142,628100,88531500
MBTO,2021-10-28,147.00,148,140,140,804100,114391100
