id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
MGLV,2022-01-31,179.00,183,179,183,25900,4739300
MGLV,2022-01-28,153.00,167,153,167,72200,11791500
MGLV,2022-01-27,130.00,152,130,152,138100,19871700
MGLV,2022-01-26,148.00,148,139,139,88100,12387300
MGLV,2022-01-25,154.00,166,154,154,17500,2750300
MGLV,2022-01-24,168.00,168,160,160,40800,6707400
MGLV,2022-01-21,177.00,177,162,162,326100,54071700
MGLV,2022-01-20,189.00,189,176,179,56700,10405200
MGLV,2022-01-19,185.00,192,185,188,27100,5040100
MGLV,2022-01-18,192.00,193,186,186,33800,6336500
MGLV,2022-01-17,194.00,194,186,193,60500,11479300
MGLV,2022-01-14,196.00,196,192,194,3400,660900
MGLV,2022-01-13,193.00,206,190,196,34700,6675300
MGLV,2022-01-12,196.00,198,192,197,119100,23344600
MGLV,2022-01-11,208.00,208,198,204,53600,10801600
