id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
MIDI,2022-01-31,2080.00,2080,2060,2060,700,1450000
MIDI,2022-01-28,2040.00,2080,2040,2080,4600,9496000
MIDI,2022-01-27,2090.00,2090,2010,2020,5200,10516000
MIDI,2022-01-26,2030.00,2090,2030,2090,900,1851000
MIDI,2022-01-25,2050.00,2050,2020,2030,12100,24561000
MIDI,2022-01-24,2030.00,2100,2020,2100,25700,52189000
MIDI,2022-01-21,2020.00,2080,2020,2020,13400,27181000
MIDI,2022-01-20,2030.00,2080,2000,2000,13200,26806000
MIDI,2022-01-19,2020.00,2100,2020,2020,29800,60241000
MIDI,2022-01-18,2080.00,2110,2010,2020,10900,22138000
MIDI,2022-01-17,2080.00,2140,2000,2010,46300,92876000
MIDI,2022-01-14,2150.00,2150,2080,2140,500,1065000
MIDI,2022-01-13,2120.00,2160,2120,2150,800,1707000
MIDI,2022-01-12,2060.00,2340,2050,2100,10100,21381000
MIDI,2022-01-11,2060.00,2160,2060,2100,3400,7154000
